signal_date,code,capital_flow_pct,capital_flow_signal
2025-11-18,600498,7.0,7.0
2025-11-19,600498,-2.77,-2.77
2025-11-20,600498,-3.79,-3.79
2025-11-21,600498,-10.24,-10.24
2025-11-24,600498,-7.46,-7.46
2025-11-25,600498,4.56,4.56
2025-11-26,600498,5.7,5.7
2025-11-27,600498,-4.89,-4.89
2025-11-28,600498,-11.17,-11.17
2025-12-01,600498,3.62,3.62
2025-12-02,600498,-8.42,-8.42
2025-12-03,600498,-5.92,-5.92
2025-12-04,600498,-10.04,-10.04
2025-12-05,600498,0.72,0.72
2025-12-08,600498,6.34,6.34
2025-12-09,600498,-8.09,-8.09
2025-12-10,600498,3.84,3.84
2025-12-11,600498,8.14,8.14
2025-12-12,600498,10.37,10.37
2025-12-15,600498,0.11,0.11
2025-12-16,600498,-12.32,-12.32
2025-12-17,600498,4.78,4.78
2025-12-18,600498,-7.85,-7.85
2025-12-19,600498,11.06,11.06
2025-12-22,600498,8.71,8.71
2025-12-23,600498,-20.66,-20.66
2025-12-24,600498,0.67,0.67
2025-12-25,600498,-0.46,-0.46
2025-12-26,600498,8.63,8.63
2025-12-29,600498,2.92,2.92
2025-12-30,600498,-12.97,-12.97
2025-12-31,600498,18.53,18.53
2026-01-05,600498,5.51,5.51
2026-01-06,600498,-7.83,-7.83
2026-01-07,600498,2.3,2.3
2026-01-08,600498,0.68,0.68
2026-01-09,600498,-1.56,-1.56
2026-01-12,600498,31.23,31.23
2026-01-13,600498,1.01,1.01
2026-01-14,600498,1.91,1.91
2026-01-15,600498,-24.09,-24.09
2026-01-16,600498,-8.12,-8.12
2026-01-19,600498,-10.53,-10.53
2026-01-20,600498,-18.44,-18.44
2026-01-21,600498,-16.57,-16.57
2026-01-22,600498,7.7,7.7
2026-01-23,600498,18.9,18.9
2026-01-26,600498,-5.9,-5.9
2026-01-27,600498,-2.05,-2.05
2026-01-28,600498,7.52,7.52
2026-01-29,600498,-3.3,-3.3
2026-01-30,600498,-0.79,-0.79
2026-02-02,600498,1.8,1.8
2026-02-03,600498,5.72,5.72
2026-02-04,600498,-4.23,-4.23
2026-02-05,600498,-16.25,-16.25
2026-02-06,600498,6.66,6.66
2026-02-09,600498,-2.62,-2.62
2026-02-10,600498,-1.26,-1.26
2026-02-11,600498,-7.77,-7.77
2026-02-12,600498,7.32,7.32
2026-02-13,600498,-7.41,-7.41
2026-02-24,600498,5.45,5.45
2026-02-25,600498,-5.84,-5.84
2026-02-26,600498,3.19,3.19
2026-02-27,600498,2.81,2.81
2026-03-02,600498,7.21,7.21
2026-03-03,600498,-3.71,-3.71
2026-03-04,600498,2.92,2.92
2026-03-05,600498,-2.98,-2.98
2026-03-06,600498,-14.58,-14.58
2026-03-09,600498,-5.05,-5.05
2026-03-10,600498,5.38,5.38
2026-03-11,600498,-11.71,-11.71
2026-03-12,600498,-7.16,-7.16
2026-03-13,600498,-11.84,-11.84
2026-03-16,600498,-1.54,-1.54
2026-03-17,600498,-10.21,-10.21
2026-03-18,600498,4.62,4.62
2026-03-19,600498,-4.32,-4.32
2026-03-20,600498,-1.78,-1.78
2026-03-23,600498,-3.56,-3.56
2026-03-24,600498,9.42,9.42
2026-03-25,600498,11.34,11.34
2026-03-26,600498,-6.82,-6.82
2026-03-27,600498,1.74,1.74
2026-03-30,600498,10.3,10.3
2026-03-31,600498,3.04,3.04
2026-04-01,600498,-3.82,-3.82
2026-04-02,600498,-3.03,-3.03
2026-04-03,600498,7.23,7.23
2026-04-07,600498,-4.49,-4.49
2026-04-08,600498,2.42,2.42
2026-04-09,600498,1.38,1.38
2026-04-10,600498,-15.74,-15.74
2026-04-13,600498,-18.46,-18.46
2026-04-14,600498,-5.17,-5.17
2026-04-15,600498,-17.86,-17.86
2026-04-16,600498,-8.0,-8.0
2026-04-17,600498,-0.93,-0.93
2026-04-20,600498,8.06,8.06
2026-04-21,600498,-3.28,-3.28
2026-04-22,600498,1.18,1.18
2026-04-23,600498,-8.62,-8.62
2026-04-24,600498,-14.86,-14.86
2026-04-27,600498,0.31,0.31
2026-04-28,600498,2.76,2.76
2026-04-29,600498,-7.2,-7.2
2026-04-30,600498,-17.78,-17.78
2026-05-06,600498,-6.29,-6.29
2026-05-07,600498,9.34,9.34
2026-05-08,600498,15.61,15.61
2026-05-11,600498,-7.51,-7.51
2026-05-12,600498,-1.55,-1.55
2026-05-13,600498,2.03,2.03
2026-05-14,600498,-5.63,-5.63
2026-05-15,600498,-13.8,-13.8
2026-05-18,600498,-1.26,-1.26
2026-05-19,600498,-2.51,-2.51
2026-05-20,600498,8.54,8.54
