signal_date,code,capital_flow_pct,capital_flow_signal
2025-11-18,603738,12.63,12.63
2025-11-19,603738,1.1,1.1
2025-11-20,603738,5.94,5.94
2025-11-21,603738,-3.93,-3.93
2025-11-24,603738,-3.31,-3.31
2025-11-25,603738,-6.48,-6.48
2025-11-26,603738,0.78,0.78
2025-11-27,603738,-2.16,-2.16
2025-11-28,603738,-5.88,-5.88
2025-12-01,603738,-1.48,-1.48
2025-12-02,603738,-5.0,-5.0
2025-12-03,603738,-11.49,-11.49
2025-12-04,603738,-14.72,-14.72
2025-12-05,603738,-6.71,-6.71
2025-12-08,603738,32.38,32.38
2025-12-09,603738,-20.78,-20.78
2025-12-10,603738,-3.6,-3.6
2025-12-11,603738,-3.03,-3.03
2025-12-12,603738,-0.06,-0.06
2025-12-15,603738,-1.44,-1.44
2025-12-16,603738,0.17,0.17
2025-12-17,603738,-9.64,-9.64
2025-12-18,603738,0.04,0.04
2025-12-19,603738,2.37,2.37
2025-12-22,603738,-1.68,-1.68
2025-12-23,603738,-14.25,-14.25
2025-12-24,603738,2.47,2.47
2025-12-25,603738,3.78,3.78
2025-12-26,603738,-10.89,-10.89
2025-12-29,603738,-4.8,-4.8
2025-12-30,603738,4.16,4.16
2025-12-31,603738,3.88,3.88
2026-01-05,603738,-6.8,-6.8
2026-01-06,603738,-0.04,-0.04
2026-01-07,603738,-5.03,-5.03
2026-01-08,603738,0.54,0.54
2026-01-09,603738,-5.94,-5.94
2026-01-12,603738,-6.63,-6.63
2026-01-13,603738,-13.88,-13.88
2026-01-14,603738,-9.54,-9.54
2026-01-15,603738,-6.64,-6.64
2026-01-16,603738,1.54,1.54
2026-01-19,603738,6.93,6.93
2026-01-20,603738,-5.74,-5.74
2026-01-21,603738,-9.37,-9.37
2026-01-22,603738,7.32,7.32
2026-01-23,603738,2.63,2.63
2026-01-26,603738,-9.16,-9.16
2026-01-27,603738,-5.61,-5.61
2026-01-28,603738,-7.71,-7.71
2026-01-29,603738,6.01,6.01
2026-01-30,603738,-10.74,-10.74
2026-02-02,603738,10.39,10.39
2026-02-03,603738,1.63,1.63
2026-02-04,603738,-0.67,-0.67
2026-02-05,603738,-12.3,-12.3
2026-02-06,603738,-5.75,-5.75
2026-02-09,603738,6.79,6.79
2026-02-10,603738,0.96,0.96
2026-02-11,603738,-13.06,-13.06
2026-02-12,603738,0.82,0.82
2026-02-13,603738,0.49,0.49
2026-02-24,603738,4.18,4.18
2026-02-25,603738,10.89,10.89
2026-02-26,603738,-0.98,-0.98
2026-02-27,603738,12.86,12.86
2026-03-02,603738,11.22,11.22
2026-03-03,603738,-10.66,-10.66
2026-03-04,603738,-12.58,-12.58
2026-03-05,603738,3.25,3.25
2026-03-06,603738,-15.27,-15.27
2026-03-09,603738,-16.01,-16.01
2026-03-10,603738,3.04,3.04
2026-03-11,603738,2.27,2.27
2026-03-12,603738,-5.12,-5.12
2026-03-13,603738,7.29,7.29
2026-03-16,603738,18.43,18.43
2026-03-17,603738,-1.43,-1.43
2026-03-18,603738,-0.45,-0.45
2026-03-19,603738,6.57,6.57
2026-03-20,603738,-1.78,-1.78
2026-03-23,603738,-1.4,-1.4
2026-03-24,603738,11.77,11.77
2026-03-25,603738,0.43,0.43
2026-03-26,603738,-11.03,-11.03
2026-03-27,603738,15.23,15.23
2026-03-30,603738,6.84,6.84
2026-03-31,603738,-5.2,-5.2
2026-04-01,603738,1.69,1.69
2026-04-02,603738,-7.75,-7.75
2026-04-03,603738,2.16,2.16
2026-04-07,603738,-10.99,-10.99
2026-04-08,603738,3.08,3.08
2026-04-09,603738,-12.81,-12.81
2026-04-10,603738,2.11,2.11
2026-04-13,603738,15.46,15.46
2026-04-14,603738,-4.73,-4.73
2026-04-15,603738,-4.77,-4.77
2026-04-16,603738,8.2,8.2
2026-04-17,603738,10.24,10.24
2026-04-20,603738,-0.51,-0.51
2026-04-21,603738,11.02,11.02
2026-04-22,603738,-0.86,-0.86
2026-04-23,603738,-2.47,-2.47
2026-04-24,603738,2.73,2.73
2026-04-27,603738,-12.07,-12.07
2026-04-28,603738,-14.05,-14.05
2026-04-29,603738,10.69,10.69
2026-04-30,603738,3.27,3.27
2026-05-06,603738,2.41,2.41
2026-05-07,603738,48.11,48.11
2026-05-08,603738,6.82,6.82
2026-05-11,603738,-1.68,-1.68
2026-05-12,603738,-0.32,-0.32
2026-05-13,603738,-2.71,-2.71
2026-05-14,603738,-0.67,-0.67
2026-05-15,603738,2.58,2.58
2026-05-18,603738,-9.28,-9.28
2026-05-19,603738,-9.84,-9.84
2026-05-20,603738,-16.42,-16.42
