signal_date,code,capital_flow_pct,capital_flow_signal
2025-11-11,000021,-8.15,-8.15
2025-11-12,000021,-5.75,-5.75
2025-11-13,000021,-1.28,-1.28
2025-11-14,000021,-14.33,-14.33
2025-11-17,000021,-3.62,-3.62
2025-11-18,000021,-12.47,-12.47
2025-11-19,000021,-13.86,-13.86
2025-11-20,000021,-10.85,-10.85
2025-11-21,000021,-10.81,-10.81
2025-11-24,000021,5.99,5.99
2025-11-25,000021,-2.6,-2.6
2025-11-26,000021,-2.1,-2.1
2025-11-27,000021,1.77,1.77
2025-11-28,000021,9.92,9.92
2025-12-01,000021,8.85,8.85
2025-12-02,000021,-9.64,-9.64
2025-12-03,000021,-9.34,-9.34
2025-12-04,000021,-3.26,-3.26
2025-12-05,000021,-14.39,-14.39
2025-12-08,000021,9.48,9.48
2025-12-09,000021,-5.05,-5.05
2025-12-10,000021,-14.71,-14.71
2025-12-11,000021,-13.58,-13.58
2025-12-12,000021,4.69,4.69
2025-12-15,000021,-4.06,-4.06
2025-12-16,000021,-12.42,-12.42
2025-12-17,000021,1.49,1.49
2025-12-18,000021,6.0,6.0
2025-12-19,000021,-0.87,-0.87
2025-12-22,000021,9.05,9.05
2025-12-23,000021,-5.49,-5.49
2025-12-24,000021,15.5,15.5
2025-12-25,000021,-3.99,-3.99
2025-12-26,000021,-10.22,-10.22
2025-12-29,000021,-11.57,-11.57
2025-12-30,000021,-3.68,-3.68
2025-12-31,000021,10.71,10.71
2026-01-05,000021,3.12,3.12
2026-01-06,000021,-0.72,-0.72
2026-01-07,000021,-2.93,-2.93
2026-01-08,000021,0.39,0.39
2026-01-09,000021,-0.34,-0.34
2026-01-12,000021,-2.22,-2.22
2026-01-13,000021,-6.05,-6.05
2026-01-14,000021,-3.41,-3.41
2026-01-15,000021,11.7,11.7
2026-01-16,000021,10.29,10.29
2026-01-19,000021,1.28,1.28
2026-01-20,000021,-5.11,-5.11
2026-01-21,000021,3.06,3.06
2026-01-22,000021,-9.01,-9.01
2026-01-23,000021,-15.26,-15.26
2026-01-26,000021,-15.55,-15.55
2026-01-27,000021,7.68,7.68
2026-01-28,000021,0.78,0.78
2026-01-29,000021,-8.05,-8.05
2026-01-30,000021,11.77,11.77
2026-02-02,000021,-15.35,-15.35
2026-02-03,000021,-3.72,-3.72
2026-02-04,000021,-18.96,-18.96
2026-02-05,000021,-7.72,-7.72
2026-02-06,000021,1.17,1.17
2026-02-09,000021,12.52,12.52
2026-02-10,000021,-9.12,-9.12
2026-02-11,000021,-17.23,-17.23
2026-02-12,000021,16.01,16.01
2026-02-13,000021,19.79,19.79
2026-02-24,000021,-4.51,-4.51
2026-02-25,000021,-10.5,-10.5
2026-02-26,000021,3.28,3.28
2026-02-27,000021,-7.74,-7.74
2026-03-02,000021,-11.03,-11.03
2026-03-03,000021,-16.22,-16.22
2026-03-04,000021,-5.27,-5.27
2026-03-05,000021,2.4,2.4
2026-03-06,000021,10.65,10.65
2026-03-09,000021,-5.55,-5.55
2026-03-10,000021,1.14,1.14
2026-03-11,000021,-4.42,-4.42
2026-03-12,000021,-6.93,-6.93
2026-03-13,000021,-1.11,-1.11
2026-03-16,000021,7.98,7.98
2026-03-17,000021,-4.06,-4.06
2026-03-18,000021,7.55,7.55
2026-03-19,000021,-10.79,-10.79
2026-03-20,000021,-12.99,-12.99
2026-03-23,000021,-14.26,-14.26
2026-03-24,000021,-4.57,-4.57
2026-03-25,000021,-0.52,-0.52
2026-03-26,000021,-12.15,-12.15
2026-03-27,000021,-11.12,-11.12
2026-03-30,000021,0.14,0.14
2026-03-31,000021,-14.97,-14.97
2026-04-01,000021,2.51,2.51
2026-04-02,000021,-12.18,-12.18
2026-04-03,000021,1.23,1.23
2026-04-07,000021,-0.67,-0.67
2026-04-08,000021,10.68,10.68
2026-04-09,000021,-6.72,-6.72
2026-04-10,000021,2.74,2.74
2026-04-13,000021,-4.99,-4.99
2026-04-14,000021,5.73,5.73
2026-04-15,000021,-14.02,-14.02
2026-04-16,000021,0.47,0.47
2026-04-17,000021,0.64,0.64
2026-04-20,000021,-2.08,-2.08
2026-04-21,000021,-11.12,-11.12
2026-04-22,000021,3.03,3.03
2026-04-23,000021,-11.34,-11.34
2026-04-24,000021,7.54,7.54
2026-04-27,000021,5.58,5.58
2026-04-28,000021,-4.78,-4.78
2026-04-29,000021,-1.54,-1.54
2026-04-30,000021,-5.25,-5.25
2026-05-06,000021,4.41,4.41
2026-05-07,000021,4.65,4.65
2026-05-08,000021,-7.96,-7.96
2026-05-11,000021,4.12,4.12
2026-05-12,000021,-9.84,-9.84
2026-05-13,000021,7.7,7.7
2026-05-14,000021,-0.19,-0.19
2026-05-15,000021,-3.68,-3.68
2026-05-18,000021,21.21,21.21
2026-05-19,000021,-2.41,-2.41
2026-05-20,000021,-7.57,-7.57
