signal_date,code,capital_flow_pct,capital_flow_signal
2025-11-18,600589,0.72,0.72
2025-11-19,600589,-2.61,-2.61
2025-11-20,600589,-7.63,-7.63
2025-11-21,600589,-25.39,-25.39
2025-11-24,600589,5.81,5.81
2025-11-25,600589,8.01,8.01
2025-11-26,600589,-10.98,-10.98
2025-11-27,600589,11.48,11.48
2025-11-28,600589,13.31,13.31
2025-12-01,600589,2.7,2.7
2025-12-02,600589,-12.19,-12.19
2025-12-03,600589,-6.91,-6.91
2025-12-04,600589,-10.21,-10.21
2025-12-05,600589,-11.63,-11.63
2025-12-08,600589,-4.79,-4.79
2025-12-09,600589,18.44,18.44
2025-12-10,600589,-9.88,-9.88
2025-12-11,600589,-10.45,-10.45
2025-12-12,600589,-7.61,-7.61
2025-12-15,600589,-12.31,-12.31
2025-12-16,600589,-20.35,-20.35
2025-12-17,600589,0.31,0.31
2025-12-18,600589,-11.15,-11.15
2025-12-19,600589,19.36,19.36
2025-12-22,600589,0.05,0.05
2025-12-23,600589,-18.54,-18.54
2025-12-24,600589,-10.16,-10.16
2025-12-25,600589,20.43,20.43
2025-12-26,600589,0.04,0.04
2025-12-29,600589,-12.41,-12.41
2025-12-30,600589,-4.87,-4.87
2025-12-31,600589,-4.6,-4.6
2026-01-05,600589,13.13,13.13
2026-01-06,600589,13.88,13.88
2026-01-07,600589,9.72,9.72
2026-01-08,600589,2.36,2.36
2026-01-09,600589,14.73,14.73
2026-01-12,600589,-8.13,-8.13
2026-01-13,600589,-8.24,-8.24
2026-01-14,600589,7.8,7.8
2026-01-15,600589,-8.22,-8.22
2026-01-16,600589,-9.88,-9.88
2026-01-19,600589,-10.08,-10.08
2026-01-20,600589,-13.24,-13.24
2026-01-21,600589,-0.96,-0.96
2026-01-22,600589,3.64,3.64
2026-01-23,600589,2.23,2.23
2026-01-26,600589,34.4,34.4
2026-01-27,600589,-6.02,-6.02
2026-01-28,600589,-7.04,-7.04
2026-01-29,600589,-0.3,-0.3
2026-01-30,600589,-7.35,-7.35
2026-02-02,600589,-5.22,-5.22
2026-02-03,600589,7.68,7.68
2026-02-04,600589,-27.25,-27.25
2026-02-05,600589,-2.11,-2.11
2026-02-06,600589,0.06,0.06
2026-02-09,600589,37.05,37.05
2026-02-10,600589,37.24,37.24
2026-02-11,600589,33.34,33.34
2026-02-12,600589,36.22,36.22
2026-02-13,600589,-2.31,-2.31
2026-02-24,600589,-22.74,-22.74
2026-02-25,600589,-6.94,-6.94
2026-02-26,600589,3.35,3.35
2026-02-27,600589,0.83,0.83
2026-03-02,600589,-7.74,-7.74
2026-03-03,600589,-18.64,-18.64
2026-03-04,600589,-7.96,-7.96
2026-03-05,600589,2.13,2.13
2026-03-06,600589,-3.38,-3.38
2026-03-09,600589,2.65,2.65
2026-03-10,600589,-4.53,-4.53
2026-03-11,600589,-10.08,-10.08
2026-03-12,600589,-5.13,-5.13
2026-03-13,600589,-20.26,-20.26
2026-03-16,600589,-10.34,-10.34
2026-03-17,600589,2.5,2.5
2026-03-18,600589,11.12,11.12
2026-03-19,600589,1.55,1.55
2026-03-20,600589,-14.69,-14.69
2026-03-23,600589,-12.5,-12.5
2026-03-24,600589,0.06,0.06
2026-03-25,600589,47.47,47.47
2026-03-26,600589,-16.53,-16.53
2026-03-27,600589,-5.07,-5.07
2026-03-30,600589,-3.8,-3.8
2026-03-31,600589,-1.28,-1.28
2026-04-01,600589,2.85,2.85
2026-04-02,600589,-21.37,-21.37
2026-04-03,600589,-3.05,-3.05
2026-04-07,600589,-11.85,-11.85
2026-04-08,600589,52.27,52.27
2026-04-09,600589,-0.19,-0.19
2026-04-10,600589,-7.19,-7.19
2026-04-13,600589,3.7,3.7
2026-04-14,600589,-0.51,-0.51
2026-04-15,600589,-9.33,-9.33
2026-04-16,600589,3.55,3.55
2026-04-17,600589,-14.67,-14.67
2026-04-20,600589,-11.77,-11.77
2026-04-21,600589,-18.27,-18.27
2026-04-22,600589,-2.91,-2.91
2026-04-23,600589,9.17,9.17
2026-04-24,600589,-12.13,-12.13
2026-04-27,600589,-14.1,-14.1
2026-04-28,600589,-12.97,-12.97
2026-04-29,600589,0.15,0.15
2026-04-30,600589,15.05,15.05
2026-05-06,600589,23.35,23.35
2026-05-07,600589,-3.11,-3.11
2026-05-08,600589,23.46,23.46
2026-05-11,600589,1.57,1.57
2026-05-12,600589,-10.63,-10.63
2026-05-13,600589,4.77,4.77
2026-05-14,600589,-5.3,-5.3
2026-05-15,600589,-5.38,-5.38
2026-05-18,600589,-16.34,-16.34
2026-05-19,600589,3.85,3.85
2026-05-20,600589,8.69,8.69
2026-05-21,600589,-4.73,-4.73
