signal_date,code,capital_flow_pct,capital_flow_signal
2025-11-18,300024,-18.21,-18.21
2025-11-19,300024,-19.68,-19.68
2025-11-20,300024,-9.83,-9.83
2025-11-21,300024,-15.1,-15.1
2025-11-24,300024,-8.1,-8.1
2025-11-25,300024,1.55,1.55
2025-11-26,300024,-0.77,-0.77
2025-11-27,300024,-1.45,-1.45
2025-11-28,300024,-3.83,-3.83
2025-12-01,300024,5.84,5.84
2025-12-02,300024,-10.72,-10.72
2025-12-03,300024,-9.68,-9.68
2025-12-04,300024,9.76,9.76
2025-12-05,300024,-6.31,-6.31
2025-12-08,300024,8.82,8.82
2025-12-09,300024,-11.23,-11.23
2025-12-10,300024,6.22,6.22
2025-12-11,300024,-13.11,-13.11
2025-12-12,300024,-7.33,-7.33
2025-12-15,300024,-11.85,-11.85
2025-12-16,300024,-10.54,-10.54
2025-12-17,300024,-7.15,-7.15
2025-12-18,300024,-9.09,-9.09
2025-12-19,300024,-0.37,-0.37
2025-12-22,300024,7.52,7.52
2025-12-23,300024,-20.46,-20.46
2025-12-24,300024,-6.25,-6.25
2025-12-25,300024,16.0,16.0
2025-12-26,300024,-18.61,-18.61
2025-12-29,300024,-11.71,-11.71
2025-12-30,300024,8.27,8.27
2025-12-31,300024,-13.27,-13.27
2026-01-05,300024,4.63,4.63
2026-01-06,300024,-10.69,-10.69
2026-01-07,300024,-13.54,-13.54
2026-01-08,300024,-2.55,-2.55
2026-01-09,300024,-0.24,-0.24
2026-01-12,300024,5.36,5.36
2026-01-13,300024,-11.15,-11.15
2026-01-14,300024,-3.92,-3.92
2026-01-15,300024,-16.44,-16.44
2026-01-16,300024,5.45,5.45
2026-01-19,300024,-8.96,-8.96
2026-01-20,300024,-9.3,-9.3
2026-01-21,300024,2.16,2.16
2026-01-22,300024,-12.81,-12.81
2026-01-23,300024,6.5,6.5
2026-01-26,300024,5.43,5.43
2026-01-27,300024,-4.79,-4.79
2026-01-28,300024,-12.31,-12.31
2026-01-29,300024,-9.58,-9.58
2026-01-30,300024,-5.38,-5.38
2026-02-02,300024,-6.87,-6.87
2026-02-03,300024,5.1,5.1
2026-02-04,300024,-5.4,-5.4
2026-02-05,300024,-10.19,-10.19
2026-02-06,300024,0.47,0.47
2026-02-09,300024,7.39,7.39
2026-02-10,300024,-2.95,-2.95
2026-02-11,300024,-10.44,-10.44
2026-02-12,300024,-6.82,-6.82
2026-02-13,300024,5.44,5.44
2026-02-24,300024,-6.45,-6.45
2026-02-25,300024,-7.12,-7.12
2026-02-26,300024,-10.89,-10.89
2026-02-27,300024,-12.89,-12.89
2026-03-02,300024,-11.46,-11.46
2026-03-03,300024,-19.12,-19.12
2026-03-04,300024,-3.15,-3.15
2026-03-05,300024,0.26,0.26
2026-03-06,300024,-2.09,-2.09
2026-03-09,300024,-9.75,-9.75
2026-03-10,300024,0.64,0.64
2026-03-11,300024,-7.61,-7.61
2026-03-12,300024,-7.95,-7.95
2026-03-13,300024,-5.81,-5.81
2026-03-16,300024,13.83,13.83
2026-03-17,300024,2.13,2.13
2026-03-18,300024,-9.88,-9.88
2026-03-19,300024,-12.58,-12.58
2026-03-20,300024,-19.84,-19.84
2026-03-23,300024,-13.19,-13.19
2026-03-24,300024,-1.65,-1.65
2026-03-25,300024,-8.46,-8.46
2026-03-26,300024,-6.2,-6.2
2026-03-27,300024,-1.49,-1.49
2026-03-30,300024,-3.63,-3.63
2026-03-31,300024,-5.42,-5.42
2026-04-01,300024,4.32,4.32
2026-04-02,300024,-15.24,-15.24
2026-04-03,300024,-23.74,-23.74
2026-04-07,300024,-9.06,-9.06
2026-04-08,300024,6.04,6.04
2026-04-09,300024,-14.23,-14.23
2026-04-10,300024,8.33,8.33
2026-04-13,300024,-6.23,-6.23
2026-04-14,300024,-1.73,-1.73
2026-04-15,300024,-10.05,-10.05
2026-04-16,300024,3.16,3.16
2026-04-17,300024,-4.09,-4.09
2026-04-20,300024,2.81,2.81
2026-04-21,300024,-9.65,-9.65
2026-04-22,300024,-10.73,-10.73
2026-04-23,300024,-5.37,-5.37
2026-04-24,300024,-7.81,-7.81
2026-04-27,300024,6.92,6.92
2026-04-28,300024,-9.3,-9.3
2026-04-29,300024,5.36,5.36
2026-04-30,300024,7.53,7.53
2026-05-06,300024,-8.65,-8.65
2026-05-07,300024,4.26,4.26
2026-05-08,300024,6.99,6.99
2026-05-11,300024,-8.43,-8.43
2026-05-12,300024,-11.07,-11.07
2026-05-13,300024,-2.77,-2.77
2026-05-14,300024,-9.62,-9.62
2026-05-15,300024,14.11,14.11
2026-05-18,300024,-0.39,-0.39
2026-05-19,300024,10.03,10.03
2026-05-20,300024,-13.2,-13.2
2026-05-21,300024,6.85,6.85
