signal_date,code,capital_flow_pct,capital_flow_signal
2026-04-10,301696,50.12,50.12
2026-04-13,301696,1.46,1.46
2026-04-14,301696,-1.61,-1.61
2026-04-15,301696,-9.43,-9.43
2026-04-16,301696,-1.0,-1.0
2026-04-17,301696,-5.58,-5.58
2026-04-20,301696,-14.92,-14.92
2026-04-21,301696,-14.89,-14.89
2026-04-22,301696,-0.27,-0.27
2026-04-23,301696,-13.48,-13.48
2026-04-24,301696,-8.52,-8.52
2026-04-27,301696,-9.04,-9.04
2026-04-28,301696,-5.97,-5.97
2026-04-29,301696,5.99,5.99
2026-04-30,301696,-13.73,-13.73
2026-05-06,301696,-7.11,-7.11
2026-05-07,301696,13.38,13.38
2026-05-08,301696,3.88,3.88
2026-05-11,301696,-7.28,-7.28
2026-05-12,301696,6.83,6.83
2026-05-13,301696,-5.84,-5.84
2026-05-14,301696,-18.52,-18.52
2026-05-15,301696,18.49,18.49
2026-05-18,301696,-3.75,-3.75
2026-05-19,301696,-1.95,-1.95
2026-05-20,301696,0.23,0.23
