signal_date,code,name,rank,popularity_score,source,capture_type,snapshot_time,first_seen_date,appearance_count,consecutive_days,previous_rank,rank_change,price_status,price_date,open,close,high,low,volume,day_return_pct,pre3_return_pct,pre5_return_pct,close_position,volume_ratio_5,dist_ma5_pct,dist_ma10_pct,dist_ma20_pct,dist_high60_pct,upper_shadow_pct,limit_up_like,one_word_like,price_lag_days,announcement_summary,event_summary,capital_flow_pct,capital_flow_signal,dragon_tiger_positive,profit_ratio,concentration_90,board_strength,market_regime,market_score,market_1d_pct,market_5d_pct,market_lag_days,market_price_date,market_source,sh_1d_pct,sz_1d_pct,cyb_1d_pct,sh_5d_pct,sz_5d_pct,cyb_5d_pct,relative_1d_pct,relative_5d_pct,emotion_score,push_level,is_pushed,reasons,risks,suggested_action,strategy_version
2026-05-06,301308,江波龙,11,12721.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,667.0,710.05,715.0,656.01,205276.0,4.48,86.51,90.77,0.916,0.99,54.58,70.73,87.28,-0.69,0.084,False,False,0.0,,,4.21,4.21,1.0,1.0,0.2131347702245049,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,2.51,88.01,46.4,不推送,False,人气Top20；当日上涨；收在日内高位；温和放量；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜活跃,短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,688256,寒武纪,12,12577.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,1488.41,1593.4,1620.0,1488.37,151690.0,7.52,72.92,75.73,0.798,0.01,44.48,59.03,75.81,-1.64,0.202,False,False,0.0,,,0.57,0.57,0.0,0.9625945528202756,0.2407992306580471,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,5.55,72.97,23.4,不推送,False,人气Top20；当日强涨；收盘承接较强；首次上榜即强势；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金净流入,量能不足；短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,002156,通富微电,13,12066.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,71.19,75.29,75.97,69.8,1367355.0,3.73,50.07,55.75,0.89,1.1,35.56,45.47,55.35,-0.9,0.11,False,False,0.0,,,42.38,42.38,0.0,0.9977100147108332,0.1069824324787692,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,1.76,52.99,35.4,不推送,False,人气Top20；当日上涨；收盘承接较强；温和放量；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金强净流入,短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,002217,合力泰,14,11926.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,2.4,2.4,2.4,2.4,33338.0,-5.14,-19.46,-10.78,1.0,0.0,-16.08,-16.14,-9.69,-26.38,,False,False,0.0,,,35.2,35.2,0.0,0.931732760881555,0.1403195040534096,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-7.11,-13.54,1.7,不推送,False,人气Top20；收在日内高位；v4筹码集中加分；v4主力资金强净流入,当日转弱；量能不足；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,600186,莲花控股,15,11639.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,13.35,13.96,14.2,12.97,1611105.0,4.8,41.87,52.74,0.805,0.44,27.65,42.71,61.64,-1.69,0.195,False,False,0.0,,,-1.13,-1.13,0.0,0.9807863920833854,0.212092949844677,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,2.83,49.98,1.4,不推送,False,人气Top20；当日上涨；收盘承接较强；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分,量能不足；短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；v4主力资金净流出,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,002580,圣阳股份,16,11316.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,24.94,22.75,24.96,22.75,896937.0,-10.01,-22.88,-17.87,0.0,0.66,-17.06,-19.11,-7.54,-32.37,0.009,False,False,0.0,,,3.7,3.7,0.0,0.9779442637734892,0.0519201610935998,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-11.98,-20.63,0.0,不推送,False,人气Top20；v4筹码集中加分；v4主力资金强净流入,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,601778,晶科科技,17,11231.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,7.41,7.36,7.53,7.17,4355477.0,-0.81,3.37,2.65,0.528,0.61,5.5,7.23,17.99,-6.6,0.333,False,False,0.0,,,8.42,8.42,0.0,0.8219772613201659,0.1160098595906473,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-2.78,-0.11,21.7,不推送,False,人气Top20；站上20日线且不过热；v4多头排列技术加分；v4筹码集中加分；v4主力资金强净流入,当日转弱；强势市里个股相对走弱；v4乖离率过大；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,002709,天赐材料,18,10988.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,50.5,51.72,52.45,50.31,761675.0,1.59,-4.1,-1.93,0.659,0.46,-7.79,-3.49,3.68,-15.21,0.341,False,False,0.0,,,-1.18,-1.18,0.0,0.9919640278890348,0.182084994681136,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-0.38,-4.69,3.7,不推送,False,人气Top20；站上20日线且不过热；v4筹码集中加分,量能不足；近5日趋势未确认；强势市里个股相对走弱；v4获利盘结构偏弱；v4主力资金净流出；v4拉升但资金未跟随,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,002149,西部材料,19,10459.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,62.5,61.41,64.29,61.01,526635.0,-0.78,8.5,6.06,0.122,0.69,3.34,1.49,12.11,-8.22,0.546,False,False,0.0,,,5.66,5.66,1.0,1.0,0.1609404961683574,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-2.75,3.3,20.4,不推送,False,人气Top20；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜提示关注,当日转弱；收盘承接偏弱；v4短线偏离MA5过多；v4长上影承接转弱；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
2026-05-06,601016,节能风电,20,9836.0,10jqka,intraday_1430,2026-05-06 14:30:00,2026-05-06,1,1,,,ok,2026-05-06,4.8,4.95,5.14,4.76,4632355.0,1.64,4.65,10.49,0.5,0.63,6.91,11.36,16.95,-13.61,0.5,False,False,0.0,,,34.59,34.59,1.0,0.8805062117114026,0.108781716753644,,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01,-0.33,7.73,29.4,不推送,False,人气Top20；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v4多头排列技术加分；v4沿短均线抬升；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜提示关注,上影线偏长；v4乖离率过大；v4远离短中期均线；v4长上影承接转弱；v4正涨但收盘承接一般；v4获利盘结构偏弱,强势归纳版：这类形态历史胜率不占优，先留给更干净的强势样本。,v4
