signal_date,code,name,rank,popularity_score,source,capture_type,snapshot_time,first_seen_date,appearance_count,consecutive_days,previous_rank,rank_change,price_status,price_date,open,close,high,low,volume,day_return_pct,pre3_return_pct,pre5_return_pct,close_position,volume_ratio_5,dist_ma5_pct,dist_ma10_pct,dist_ma20_pct,dist_high60_pct,upper_shadow_pct,limit_up_like,one_word_like,price_lag_days
2026-04-10,600030,中信证券,22,2790.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,25.01,25.9,26.5,25.01,4259329.0,7.25,8.28,7.34,0.597,4.5,5.58,6.28,4.61,-10.69,0.403,False,False,0.0
2026-04-10,600487,亨通光电,23,2758.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,59.21,55.98,59.21,55.71,2089276.0,-5.98,-4.63,4.85,0.077,1.2,-3.76,1.48,11.5,-8.98,0.0,False,False,0.0
2026-04-10,002364,中恒电气,24,2749.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,35.12,35.12,35.12,35.12,33892.0,9.99,27.38,36.97,1.0,0.12,16.36,23.16,19.34,-6.02,0.0,True,True,0.0
2026-04-10,603459,红板科技,25,2727.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,52.0,55.08,57.76,51.5,505477.0,9.57,,,0.572,0.9,1.34,1.34,1.34,-18.51,0.428,True,False,0.0
2026-04-10,300207,欣旺达,26,2708.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,25.85,28.63,29.95,25.76,2890808.0,14.7,20.55,15.68,0.685,4.66,14.16,12.2,8.63,-4.41,0.315,True,False,0.0
2026-04-10,000977,浪潮信息,27,2676.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,65.77,67.5,69.2,65.28,1172893.0,3.73,13.5,19.15,0.566,2.01,8.29,13.07,13.17,-5.73,0.434,False,False,0.0
2026-04-10,300750,宁德时代,28,2603.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,387.09,409.09,412.09,385.77,507887.0,6.79,8.32,3.76,0.886,2.0,5.77,3.91,3.66,-1.46,0.114,False,False,0.0
2026-04-10,600707,彩虹股份,29,2583.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,7.02,7.02,7.02,6.88,924141.0,10.03,26.03,26.49,1.0,3.93,16.03,20.14,18.15,-2.5,0.0,True,False,0.0
2026-04-10,600743,华远控股,30,2573.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,2.59,2.65,2.65,2.52,1634453.0,9.96,33.17,42.47,1.0,2.0,19.91,28.39,32.4,0.0,0.0,True,False,0.0
2026-04-10,002309,中利集团,31,2548.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,4.63,4.4,4.67,4.37,5464135.0,-7.56,-15.87,-11.65,0.1,0.68,-10.02,-8.31,0.24,-18.97,0.133,False,False,0.0
2026-04-10,002594,比亚迪,32,2456.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,99.39,101.67,102.2,99.03,605731.0,2.67,3.77,0.02,0.833,1.25,1.89,-0.3,-1.2,-9.08,0.167,False,False,0.0
2026-04-10,300502,新易盛,33,2453.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,493.0,522.5,528.0,485.0,444844.0,6.63,13.91,16.76,0.872,1.38,7.6,11.53,14.95,-1.04,0.128,False,False,0.0
2026-04-10,002837,英维克,34,2434.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,94.95,99.05,102.4,94.65,759554.0,6.4,16.75,19.67,0.568,2.17,9.54,11.38,4.32,-14.98,0.432,False,False,0.0
2026-04-10,600110,诺德股份,35,2428.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,10.0,9.88,10.65,9.86,3090651.0,-2.76,2.6,5.78,0.025,1.05,2.4,5.51,14.32,-7.23,0.823,False,False,0.0
2026-04-10,601179,中国西电,36,2407.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,16.0,16.08,16.28,15.77,1834404.0,1.84,7.41,4.89,0.608,1.24,3.21,3.11,-0.95,-22.13,0.392,False,False,0.0
2026-04-10,603773,沃格光电,37,2364.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,40.5,43.14,43.14,39.68,310530.0,9.99,31.12,31.16,1.0,2.78,16.61,21.76,17.33,-4.3,0.0,True,False,0.0
