strategy_version,signal_date,code,name,rank,push_level,emotion_score,is_pushed,capture_type,snapshot_time,reasons,risks,price_date,signal_close,latest_price_date,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,tail_next_max_drawdown_pct,settled_tail_next_day,open_buy_date,open_buy_price,return_1d_pct,max_gain_1d_pct,max_drawdown_1d_pct,settled_1d,open_buy_return_1d_pct,open_buy_max_gain_1d_pct,open_buy_max_drawdown_1d_pct,settled_open_buy_1d,return_3d_pct,max_gain_3d_pct,max_drawdown_3d_pct,settled_3d,open_buy_return_3d_pct,open_buy_max_gain_3d_pct,open_buy_max_drawdown_3d_pct,settled_open_buy_3d,return_5d_pct,max_gain_5d_pct,max_drawdown_5d_pct,settled_5d,open_buy_return_5d_pct,open_buy_max_gain_5d_pct,open_buy_max_drawdown_5d_pct,settled_open_buy_5d,return_10d_pct,max_gain_10d_pct,max_drawdown_10d_pct,settled_10d,open_buy_return_10d_pct,open_buy_max_gain_10d_pct,open_buy_max_drawdown_10d_pct,settled_open_buy_10d
v2,2026-04-10,603778,国晟科技,11,不推送,28.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,31.24,2026-07-21,68,-72.57,0.83,5.95,9.44,0.8,True,2026-04-13,31.5,5.95,9.44,0.8,True,5.08,8.54,-0.03,True,-14.18,9.44,-14.18,True,-14.89,8.54,-14.89,True,-22.38,9.44,-22.86,True,-23.02,8.54,-23.49,True,-15.08,9.44,-22.86,True,-15.78,8.54,-23.49,True
v2,2026-04-10,601138,工业富联,12,不推送,50.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,56.52,2026-08-20,90,9.93,-0.92,-1.45,0.05,-1.98,True,2026-04-13,56.0,-1.45,0.05,-1.98,True,-0.54,0.98,-1.07,True,2.3,6.1,-1.98,True,3.25,7.09,-1.07,True,7.87,8.28,-1.98,True,8.87,9.29,-1.07,True,15.02,22.26,-1.98,True,16.09,23.39,-1.07,True
v2,2026-04-10,600010,包钢股份,13,不推送,28.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,2.83,2026-07-21,68,-23.32,4.24,5.3,8.48,2.12,True,2026-04-13,2.95,5.3,8.48,2.12,True,1.02,4.07,-2.03,True,-0.35,8.48,-1.06,True,-4.41,4.07,-5.08,True,1.06,8.48,-1.06,True,-3.05,4.07,-5.08,True,-3.18,8.48,-4.59,True,-7.12,4.07,-8.47,True
v2,2026-04-10,000988,华工科技,14,不推送,50.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热,-,2026-04-10,115.92,2026-07-29,74,-13.51,-0.91,7.97,8.01,-0.91,True,2026-04-13,114.86,7.97,8.01,-0.91,True,8.97,9.0,0.0,True,-3.12,8.01,-4.59,True,-2.23,9.0,-3.71,True,0.66,8.01,-6.96,True,1.58,9.0,-6.1,True,-0.52,8.01,-6.96,True,0.4,9.0,-6.1,True
v2,2026-04-10,002074,国轩高科,15,普通观察,68.0,True,post_close,2026-04-10 15:00:00,人气Top20；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；首次上榜即强势,放量过猛,2026-04-10,38.81,2026-08-11,83,-28.6,-0.03,1.78,1.78,-0.8,True,2026-04-13,38.8,1.78,1.78,-0.8,True,1.8,1.8,-0.77,True,-0.23,3.04,-0.8,True,-0.21,3.07,-0.77,True,3.66,4.23,-0.8,True,3.69,4.25,-0.77,True,2.76,6.91,-0.8,True,2.78,6.93,-0.77,True
v2,2026-04-10,600666,奥瑞德,16,不推送,16.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱,2026-04-10,6.3,2026-07-21,68,-50.0,-4.6,1.9,3.17,-4.6,True,2026-04-13,6.01,1.9,3.17,-4.6,True,6.82,8.15,0.0,True,-1.11,7.3,-4.6,True,3.66,12.48,0.0,True,12.54,16.19,-4.6,True,17.97,21.8,0.0,True,-4.92,20.16,-6.35,True,-0.33,25.96,-1.83,True
v2,2026-04-10,300390,天华新能,17,重点观察,78.0,True,post_close,2026-04-10 15:00:00,人气Top20；当日涨停附近；放量仍可控；近5日趋势升温；站上20日线且不过热；首次上榜即强势；v2低分涨停修正,-,2026-04-10,68.3,2026-07-21,68,-18.27,1.55,17.42,19.62,1.43,True,2026-04-13,69.36,17.42,19.62,1.43,True,15.63,17.79,-0.12,True,12.64,19.62,1.43,True,10.91,17.79,-0.12,True,28.54,33.24,1.43,True,26.57,31.2,-0.12,True,33.24,35.84,1.43,True,31.2,33.77,-0.12,True
v2,2026-04-10,002281,光迅科技,18,不推送,21.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量；近5日强势延续；站上20日线且不过热,当日转弱；收盘承接偏弱；短线涨幅偏高,2026-04-10,107.82,2026-07-22,69,77.98,-0.49,5.48,7.48,-0.49,True,2026-04-13,107.29,5.48,7.48,-0.49,True,6.0,8.01,0.0,True,-1.04,7.48,-2.06,True,-0.55,8.01,-1.58,True,8.36,8.36,-2.06,True,8.89,8.89,-1.58,True,19.37,25.83,-2.06,True,19.96,26.45,-1.58,True
v2,2026-04-10,002714,牧原股份,19,不推送,0.0,False,post_close,2026-04-10 15:00:00,人气Top20；温和放量,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方,2026-04-10,43.01,2026-07-22,69,-8.3,-0.02,2.7,3.46,-0.84,True,2026-04-13,43.0,2.7,3.46,-0.84,True,2.72,3.49,-0.81,True,7.07,7.84,-0.84,True,7.09,7.86,-0.81,True,4.88,7.84,-0.84,True,4.91,7.86,-0.81,True,-0.67,7.84,-1.28,True,-0.65,7.86,-1.26,True
v2,2026-04-10,002418,康盛股份,20,强推观察,110.0,True,post_close,2026-04-10 15:00:00,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；首次上榜即强势；v2强势延续修正；v2低分涨停修正,-,2026-04-10,5.69,2026-08-27,95,-13.71,3.51,10.02,10.02,3.34,True,2026-04-13,5.89,10.02,10.02,3.34,True,6.28,6.28,-0.17,True,-3.34,10.54,-3.51,True,-6.62,6.79,-6.79,True,8.79,10.54,-3.87,True,5.09,6.79,-7.13,True,8.08,25.13,-3.87,True,4.41,20.88,-7.13,True
