strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v3,2026-08-08T05:39:11,推送层级,不推送,latest,至今收益,latest_return_pct,,6309,0,5486,-16.57,20.69,8.49
v3,2026-08-08T05:39:11,推送层级,不推送,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,6309,0,5486,2.21,42.09,12.1
v3,2026-08-08T05:39:11,推送层级,不推送,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,6309,0,5486,2.56,50.62,15.35
v3,2026-08-08T05:39:11,推送层级,不推送,1d,1日收益,return_1d_pct,settled_1d,6309,0,5486,2.56,50.62,15.35
v3,2026-08-08T05:39:11,推送层级,不推送,3d,3日收益,return_3d_pct,settled_3d,6309,0,5301,1.9,47.69,21.32
v3,2026-08-08T05:39:11,推送层级,不推送,5d,5日收益,return_5d_pct,settled_5d,6309,0,5145,1.4,47.42,24.12
v3,2026-08-08T05:39:11,推送层级,不推送,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,6309,0,5486,0.43,50.95,4.01
v3,2026-08-08T05:39:11,推送层级,不推送,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,6309,0,5301,-0.29,44.48,13.75
v3,2026-08-08T05:39:11,推送层级,不推送,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,6309,0,5145,-0.77,43.75,17.67
v3,2026-08-08T05:39:11,推送层级,不推送,10d,10日收益,return_10d_pct,settled_10d,6309,0,4735,0.55,44.73,27.31
v3,2026-08-08T05:39:11,推送层级,强推观察,latest,至今收益,latest_return_pct,,147,147,147,-19.08,21.77,16.33
v3,2026-08-08T05:39:11,推送层级,强推观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,147,147,147,0.79,60.54,4.08
v3,2026-08-08T05:39:11,推送层级,强推观察,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,147,147,147,1.66,63.27,15.65
v3,2026-08-08T05:39:11,推送层级,强推观察,1d,1日收益,return_1d_pct,settled_1d,147,147,147,1.66,63.27,15.65
v3,2026-08-08T05:39:11,推送层级,强推观察,3d,3日收益,return_3d_pct,settled_3d,147,147,147,3.74,56.46,26.53
v3,2026-08-08T05:39:11,推送层级,强推观察,5d,5日收益,return_5d_pct,settled_5d,147,147,147,4.51,58.5,29.93
v3,2026-08-08T05:39:11,推送层级,强推观察,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,147,147,147,0.92,53.06,5.44
v3,2026-08-08T05:39:11,推送层级,强推观察,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,147,147,147,2.9,54.42,22.45
v3,2026-08-08T05:39:11,推送层级,强推观察,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,147,147,147,3.66,55.78,26.53
v3,2026-08-08T05:39:11,推送层级,强推观察,10d,10日收益,return_10d_pct,settled_10d,147,147,147,6.36,61.22,36.73
v3,2026-08-08T05:39:11,推送层级,普通观察,latest,至今收益,latest_return_pct,,237,237,234,-15.31,22.22,14.1
v3,2026-08-08T05:39:11,推送层级,普通观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,237,237,234,0.34,53.85,2.56
v3,2026-08-08T05:39:11,推送层级,普通观察,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,237,237,234,1.26,55.56,8.12
v3,2026-08-08T05:39:11,推送层级,普通观察,1d,1日收益,return_1d_pct,settled_1d,237,237,234,1.26,55.56,8.12
v3,2026-08-08T05:39:11,推送层级,普通观察,3d,3日收益,return_3d_pct,settled_3d,237,237,229,1.97,57.21,17.9
v3,2026-08-08T05:39:11,推送层级,普通观察,5d,5日收益,return_5d_pct,settled_5d,237,237,226,3.02,53.1,24.78
