lesson_type,sample_count,valid_latest,avg_latest_return_pct,win_rate_latest_pct,valid_3d,avg_3d_return_pct,win_rate_3d_pct,valid_5d,avg_5d_return_pct,win_rate_5d_pct,valid_max_gain_5d,avg_max_gain_5d_pct,strong_rate_5d_pct,strategy_version
low_level_winner,2092,2092,-6.26,39.77,2071,17.62,89.18,2050,18.66,87.17,2050,30.61,88.93,v2
priority_failed,911,911,-29.39,0.0,892,-6.97,22.87,874,-9.13,19.45,874,3.59,0.0,v2
priority_success,662,662,-9.53,33.69,657,17.64,90.87,650,18.5,87.23,650,30.82,91.23,v2
neutral,192,192,-8.57,52.6,154,-5.34,31.17,138,-7.51,28.26,138,4.23,0.0,v2
pending_data,120,0,,,0,,,0,,,0,,,v2
backup_success,51,51,-5.38,49.02,51,20.55,90.2,50,20.42,88.0,50,35.0,92.0,v2
pending,30,0,,,0,,,0,,,0,,,v2
