signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-05-06,603778,国晟科技,60,观察池,29.4,53,183.3,160.66,196.38,-13.78,196.38,144.37,142.86,-13.74,-14.28,150.6,196.38,196.38,196.38,当日涨停附近；收在日内高位；市场强势且个股相对强势；v4筹码集中加分,近5日趋势未确认；仍在20日线下方；v4获利盘结构偏弱；v4主力资金净流出；涨停封板不可买,v4
2026-05-06,002342,巨力索具,46,不推送,0.0,53,121.99,146.76,146.76,-20.42,167.75,147.32,128.24,11.41,2.82,58.48,167.75,167.75,167.75,人气Top50；v4筹码集中加分,当日转弱；收盘承接偏弱；量能不足；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4长上影承接转弱；v4跌破短均线；v4获利盘结构偏弱；v4主力资金净流出,v4
2026-05-06,002759,天际股份,84,不推送,49.4,53,151.87,141.23,153.48,-21.46,153.48,137.5,131.84,-5.7,-7.95,127.11,153.48,153.48,153.48,当日强涨；收在日内高位；温和放量；市场强势且个股相对强势；v4筹码集中加分；v4主力资金强净流入,近5日趋势未确认；仍在20日线下方；v4获利盘结构偏弱,v4
2026-05-15,603778,国晟科技,83,观察池,20.3,46,117.3,125.96,129.28,-13.78,151.51,150.6,140.34,15.32,10.6,68.21,151.51,151.51,151.51,当日涨停附近；收在日内高位；震荡市里保持相对强势；震荡市里承接未失控；v4筹码集中加分,近5日趋势未确认；仍在20日线下方；人气排名明显回落；后段人气股在偏弱环境里更谨慎；v4获利盘结构偏弱；v4主力资金强净流出；涨停封板不可买,v4
2026-05-06,002217,合力泰,14,不推送,13.4,52,122.22,128.76,128.76,-6.54,145.75,133.33,131.37,5.0,4.12,85.62,145.75,145.75,145.75,人气Top20；当日上涨；市场强势且个股相对强势；v4筹码集中加分；v4主力资金强净流入,量能不足；近5日趋势未确认；仍在20日线下方；v4长上影承接转弱；v4获利盘结构偏弱,v4
2026-05-06,603538,美诺华,26,不推送,0.0,54,137.19,111.93,141.97,0.48,141.97,97.08,92.51,-16.91,-18.84,82.26,141.97,141.97,141.97,人气Top50；温和放量；v4筹码集中加分；v4主力资金净流入,当日转弱；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4长上影承接转弱；v4跌破短均线；v4获利盘结构偏弱,v4
2026-05-06,001309,德明利,22,不推送,4.7,54,69.76,73.56,78.2,28.71,113.96,79.95,91.38,6.0,12.74,95.93,81.57,91.38,113.96,人气Top50；温和放量；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜活跃,当日转弱；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱,v4
2026-05-07,301666,大普微,92,观察池,24.4,54,-3.55,16.78,17.63,1.48,112.57,21.68,45.97,26.16,51.34,64.94,34.89,60.15,112.57,当日涨停附近；收盘承接较强；温和放量；连续上榜确认；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4龙虎榜提示关注,短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；v4主力资金强净流出；v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
2026-05-18,603629,利通电子,41,观察池,37.95,46,66.0,70.2,71.79,15.56,111.78,75.38,97.25,5.65,18.82,51.08,77.23,103.11,111.78,人气Top50；当日涨停附近；收在日内高位；持续霸榜；震荡市里保持相对强势；震荡市里承接未失控；v4筹码集中加分；v4主力资金净流入,量能不足；近5日趋势未确认；仍在20日线下方；热度可能进入后段；v4趋势未转强且热度偏后；v4获利盘结构偏弱；涨停封板不可买,v4
2026-07-08,603986,兆易创新,19,不推送,0.0,10,85.77,94.72,94.72,37.94,107.77,61.65,67.81,-12.99,-9.67,37.94,107.77,107.77,107.77,人气Top20；温和放量；持续霸榜；v4筹码集中加分,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方；热度可能进入后段；弱市先收缩执行；弱市里的长连榜样本优先降权；市场健康度不足，收缩推送；市场健康度偏弱；v4跌破短均线；v4获利盘结构偏弱；v4主力资金强净流出,v4
2026-05-06,600118,中国卫星,90,不推送,0.0,54,87.87,85.96,88.84,3.31,107.11,101.23,94.11,7.11,3.32,49.67,107.11,107.11,107.11,v4筹码集中加分；v4主力资金净流入,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱,v4
2026-05-06,002361,神剑股份,40,不推送,0.0,53,85.08,88.48,89.35,-17.98,105.5,94.15,80.37,4.9,-2.55,53.75,105.5,105.5,105.5,人气Top50；v4筹码集中加分,当日转弱；收盘承接偏弱；量能不足；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱；v4主力资金净流出,v4
2026-05-18,002208,合肥城建,13,不推送,15.1,46,81.47,93.98,93.98,0.0,103.55,79.85,55.98,-0.89,-14.04,33.2,103.55,103.55,103.55,人气Top20；温和放量；连续上榜确认；人气排名明显上升；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜提示关注,当日转弱；近5日趋势未确认；仍在20日线下方；震荡市里相对走弱；市场健康度不足，收缩推送；v4跌破短均线；v4获利盘结构偏弱,v4
2026-05-15,002208,合肥城建,78,不推送,0.0,47,76.37,76.37,76.37,0.0,103.55,99.85,67.34,13.31,-5.12,31.74,103.55,103.55,103.55,温和放量；v4筹码集中加分；v4龙虎榜提示关注,当日转弱；近5日趋势未确认；仍在20日线下方；震荡市里相对走弱；后段人气股在偏弱环境里更谨慎；市场健康度不足，收缩推送；v4跌破短均线；v4获利盘结构偏弱；v4主力资金强净流出,v4
2026-06-12,600206,有研新材,78,不推送,0.0,27,0.58,7.76,7.76,23.19,100.94,20.61,41.74,19.92,40.93,100.88,23.61,41.74,100.94,放量仍可控；近5日趋势升温；站上20日线且不过热；连续上榜确认；震荡市里保持相对强势；v4多头排列技术加分；v4筹码集中加分,当日转弱；收盘承接偏弱；人气排名明显回落；后段人气股在偏弱环境里更谨慎；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；v4主力资金强净流出；v4事件谨慎扣分（异常波动）,v4
2026-06-12,300285,国瓷材料,28,不推送,0.0,27,5.68,12.37,13.33,6.92,100.39,39.36,75.57,31.87,66.13,87.38,42.91,79.3,100.39,人气Top50；温和放量；站上20日线且不过热；人气排名明显上升；v4筹码集中加分,当日转弱；收盘承接偏弱；近5日趋势未确认；震荡市里相对走弱；市场健康度不足，收缩推送；v4跌破短均线；v4获利盘结构偏弱；v4主力资金强净流出,v4
2026-05-18,300476,胜宏科技,61,不推送,24.3,46,69.55,67.06,70.05,19.18,99.59,64.3,90.12,-3.1,12.13,69.72,73.23,93.85,99.59,当日上涨；收盘承接较强；连续上榜确认；人气排名明显上升；震荡市里保持相对强势；震荡市里承接未失控；v4筹码集中加分；v4主力资金净流入,近5日趋势未确认；仍在20日线下方；后段人气股在偏弱环境里更谨慎；v4趋势未转强且热度偏后；v4获利盘结构偏弱,v4
2026-05-15,300476,胜宏科技,96,不推送,8.3,47,66.87,71.63,74.77,19.18,99.59,65.68,86.16,-0.71,11.56,82.7,74.77,86.16,99.59,当日上涨；收盘承接较强；连续上榜确认；震荡市里保持相对强势；震荡市里承接未失控；v4筹码集中加分,近5日趋势未确认；仍在20日线下方；人气排名明显回落；后段人气股在偏弱环境里更谨慎；v4获利盘结构偏弱；v4主力资金强净流出,v4
2026-07-08,301308,江波龙,4,不推送,0.0,10,87.01,89.61,90.92,18.8,97.28,59.65,49.24,-14.63,-20.2,18.8,97.28,97.28,97.28,人气Top10；温和放量；连续上榜确认；v4筹码集中加分,当日转弱；近5日趋势未确认；仍在20日线下方；弱市先收缩执行；市场健康度不足，收缩推送；市场健康度偏弱；v4跌破短均线；v4获利盘结构偏弱；v4主力资金强净流出,v4
2026-06-10,600353,旭光电子,78,不推送,68.55,28,-1.03,9.99,9.99,5.14,97.21,15.94,40.3,17.15,41.76,79.1,18.55,40.3,97.21,当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；弱市中个股相对抗跌；v4多头排列技术加分；v4放量突破但不过热；v4沿短均线抬升；v4筹码集中加分；v4主力资金净流入,后段人气股在偏弱环境里更谨慎；v4短线偏离MA5过多；v4远离短中期均线；v4获利盘结构偏弱,v4
2026-05-15,920178,锐翔智能,98,不推送,0.0,10,2.29,30.0,30.0,1.18,95.4,78.18,43.18,74.19,39.98,1.18,85.3,95.4,95.4,站上20日线且不过热；v4筹码集中加分；v4主力资金强净流入,收盘承接偏弱；后段人气股在偏弱环境里更谨慎；市场健康度不足，收缩推送；v4长上影承接转弱；v4获利盘结构偏弱,v4
2026-06-15,600206,有研新材,25,普通观察,82.4,26,-0.82,10.01,10.01,14.32,95.22,19.58,36.01,20.56,37.12,87.34,22.39,42.53,95.22,人气Top50；当日强涨；收在日内高位；温和放量；近5日强势延续；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4主力资金净流入,短线涨幅偏高；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱,v4
2026-05-15,002342,巨力索具,85,不推送,0.0,46,95.09,95.09,95.09,-20.42,95.09,58.48,46.87,-18.76,-24.71,26.0,95.09,95.09,95.09,持续霸榜；v4筹码集中加分；v4主力资金净流入,当日转弱；收盘承接偏弱；量能不足；近5日趋势未确认；仍在20日线下方；热度可能进入后段；人气排名明显回落；震荡市里相对走弱；后段人气股在偏弱环境里更谨慎；市场健康度不足，收缩推送；v4长上影承接转弱；v4跌破短均线；v4趋势未转强且热度偏后；v4获利盘结构偏弱,v4
2026-05-06,301308,江波龙,11,不推送,9.7,54,49.55,47.51,55.23,18.8,94.96,69.93,86.83,13.63,24.93,74.47,72.47,88.05,94.96,人气Top20；温和放量；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜提示关注,当日转弱；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱,v4
2026-06-11,603823,百合花,79,观察池,33.55,28,-4.69,0.89,3.85,92.19,92.19,4.03,9.57,9.16,14.96,29.3,9.71,14.36,33.8,当日涨停附近；收在日内高位；温和放量；弱市中个股相对抗跌；v4多头排列技术加分；v4筹码集中加分；v4主力资金净流入；v4龙虎榜提示关注,短线涨幅过热；远离20日线过多；后段人气股在偏弱环境里更谨慎；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；涨停封板不可买,v4
2026-05-06,002466,天齐锂业,93,不推送,0.0,54,89.83,86.95,90.47,3.85,91.13,82.95,75.88,-3.62,-7.35,61.17,91.13,91.13,91.13,v4筹码集中加分,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4跌破短均线；v4获利盘结构偏弱；v4主力资金净流出,v4
2026-07-17,001258,立新能源,78,观察池,43.55,11,6.89,10.04,10.04,53.93,90.21,33.13,57.56,24.55,47.4,49.21,33.13,61.06,90.21,当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；弱市中个股相对抗跌；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜提示关注,后段人气股在偏弱环境里更谨慎；v4乖离率过大；v4远离短中期均线；v4放量冲高过热；v4获利盘结构偏弱；涨停封板不可买,v4
2026-06-08,688549,中巨芯,73,观察池,52.55,29,3.86,18.08,19.75,10.89,89.63,56.59,40.8,50.78,35.57,62.85,56.64,56.64,89.63,当日涨停附近；收在日内高位；放量仍可控；近5日强势延续；站上20日线且不过热；弱市中个股相对抗跌；v4筹码集中加分；v4主力资金强净流入；v4龙虎榜提示关注,短线涨幅偏高；后段人气股在偏弱环境里更谨慎；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；涨停封板不可买,v4
2026-05-20,603538,美诺华,93,不推送,0.0,44,79.75,82.71,88.42,0.48,88.42,58.13,59.71,-12.03,-11.15,5.88,88.42,88.42,88.42,放量仍可控；v4筹码集中加分；v4主力资金强净流入,当日转弱；近5日趋势未确认；仍在20日线下方；震荡市里相对走弱；后段人气股在偏弱环境里更谨慎；市场健康度不足，收缩推送；v4长上影承接转弱；v4跌破短均线；v4获利盘结构偏弱,v4
2026-06-11,600176,中国巨石,32,不推送,69.2,32,3.48,1.31,7.52,-8.47,87.97,20.87,30.27,16.8,25.88,80.47,22.23,33.89,87.97,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；弱市中个股相对抗跌；v4筹码集中加分；v4主力资金强净流入,v4乖离率过大；v4趋势未转强且热度偏后；v4获利盘结构偏弱,v4
2026-06-12,600176,中国巨石,52,不推送,22.65,31,3.34,10.0,10.0,-9.66,85.53,31.22,40.3,26.98,35.77,70.58,31.22,40.95,85.53,温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；震荡市里保持相对强势；v4多头排列技术加分；v4沿短均线抬升；v4筹码集中加分；v4主力资金强净流入,收盘承接偏弱；人气排名明显回落；上影线偏长；后段人气股在偏弱环境里更谨慎；v4乖离率过大；v4长上影承接转弱；v4正涨但收盘承接一般；v4获利盘结构偏弱,v4
2026-05-06,002580,圣阳股份,16,不推送,11.7,59,49.26,51.86,58.36,-5.39,85.36,74.02,76.72,16.59,18.39,33.05,83.78,83.78,85.36,人气Top20；v4筹码集中加分；v4主力资金强净流入,近5日趋势未确认；仍在20日线下方；强势市里个股相对走弱；v4获利盘结构偏弱,v4
2026-07-08,600667,太极实业,7,不推送,0.0,10,64.47,73.17,73.17,10.02,84.25,49.84,37.18,-8.9,-16.59,10.02,84.25,84.25,84.25,人气Top10；持续霸榜；v4筹码集中加分,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方；热度可能进入后段；弱市先收缩执行；弱市里的长连榜样本优先降权；市场健康度不足，收缩推送；市场健康度偏弱；v4跌破短均线；v4获利盘结构偏弱；v4主力资金强净流出,v4
2026-06-04,301217,铜冠铜箔,97,不推送,52.3,33,-2.5,1.38,6.3,-13.11,84.19,11.85,16.61,14.72,19.6,82.23,13.08,19.77,84.19,收在日内高位；站上20日线且不过热；震荡市里保持相对强势；震荡市里承接未失控；v4多头排列技术加分；v4缩量回踩MA5；v4筹码集中加分；v4主力资金净流入,近5日趋势未确认；后段人气股在偏弱环境里更谨慎；v4获利盘结构偏弱,v4
2026-05-11,301666,大普微,80,不推送,0.0,52,-2.85,4.95,4.97,-12.47,83.35,25.91,62.82,29.6,67.6,43.88,38.13,62.82,83.35,温和放量；连续上榜确认；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4龙虎榜提示关注；v4事件催化加分（签订协议）,当日转弱；收盘承接偏弱；短线涨幅过热；远离20日线过多；人气排名明显回落；v4乖离率过大；v4远离短中期均线；v4长上影承接转弱；v4获利盘结构偏弱；v4主力资金强净流出；v4事件风险扣分（监管）,v4
2026-05-08,301666,大普微,55,观察池,38.4,53,5.6,-0.72,15.51,-13.1,82.02,25.0,34.7,18.36,27.56,45.24,25.0,37.14,82.02,当日涨停附近；收在日内高位；温和放量；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v4多头排列技术加分；v4筹码集中加分；v4龙虎榜提示关注,短线涨幅过热；远离20日线过多；v4乖离率过大；v4远离短中期均线；v4获利盘结构偏弱；v4主力资金净流出；v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
