lesson_type,sample_count,valid_latest,avg_latest_return_pct,win_rate_latest_pct,valid_3d,avg_3d_return_pct,win_rate_3d_pct,valid_5d,avg_5d_return_pct,win_rate_5d_pct,valid_max_gain_5d,avg_max_gain_5d_pct,strong_rate_5d_pct,strategy_version
low_level_winner,1837,1837,-6.64,37.07,1813,16.57,89.63,1782,18.1,89.56,1782,29.22,88.72,v3
priority_failed,1021,1021,-29.01,0.0,989,-6.78,23.86,967,-9.14,19.54,967,4.37,0.0,v3
priority_success,725,725,-8.29,36.0,718,17.07,89.42,705,18.47,90.07,705,30.52,91.91,v3
pending_data,269,0,,,0,,,0,,,0,,,v3
neutral,192,192,-2.83,72.4,157,-3.37,41.4,142,-4.83,33.8,142,4.71,0.0,v3
backup_success,38,38,-10.45,31.58,35,19.78,91.43,34,18.34,82.35,34,32.73,97.06,v3
pending,30,0,,,0,,,0,,,0,,,v3
