signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-05-19,603773,沃格光电,47,不推送,42.25,21,-3.87,9.94,10.0,134.88,134.88,13.11,29.42,17.66,34.64,72.49,20.94,29.42,74.52,人气Top50；当日上涨；放量仍可控；站上20日线且不过热；连续上榜确认；人气排名明显上升；震荡市里保持相对强势,近5日趋势未确认,v1
2026-04-10,002297,博云新材,44,不推送,0.0,45,10.02,10.02,10.02,134.79,134.79,33.15,61.11,21.03,46.44,103.1,33.15,61.11,104.46,人气Top50；放量仍可控,当日转弱；收盘承接偏弱,v1
2026-04-30,301217,铜冠铜箔,32,不推送,32.0,31,0.27,13.03,18.08,131.92,131.92,13.02,20.64,12.72,20.32,11.73,18.08,22.54,32.7,人气Top50；当日涨停附近；温和放量；连续上榜确认,短线涨幅过热；远离20日线过多,v1
2026-04-13,603629,利通电子,79,不推送,22.0,44,7.32,10.0,10.0,127.06,127.06,31.88,47.61,22.88,37.54,49.28,33.12,51.31,63.76,温和放量；近5日趋势升温；站上20日线且不过热,收盘承接偏弱,v1
2026-04-10,002281,光迅科技,18,不推送,21.0,45,-0.49,5.48,7.48,124.45,124.45,-1.04,8.36,-0.55,8.89,19.37,7.48,8.36,25.83,人气Top20；温和放量；近5日强势延续；站上20日线且不过热,当日转弱；收盘承接偏弱；短线涨幅偏高,v1
2026-04-30,688808,联讯仪器,35,不推送,44.0,31,-1.48,-1.48,1.9,124.13,124.13,10.23,8.1,11.89,9.72,35.48,13.61,17.58,38.45,人气Top50；当日涨停附近；收盘承接较强；站上20日线且不过热,人气排名明显回落,v1
2026-04-13,603986,兆易创新,100,不推送,8.0,44,2.81,6.82,7.28,123.56,123.56,9.09,10.55,6.12,7.53,15.46,9.45,12.62,24.08,温和放量；近5日趋势升温；连续上榜确认,当日转弱；收盘承接偏弱；人气排名明显回落,v1
2026-04-14,600396,华电辽能,10,强推观察,90.0,43,1.25,0.25,7.85,121.67,121.67,-11.08,1.25,-12.18,0.0,34.5,7.85,7.85,38.61,人气Top10；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；连续上榜确认；v1每日精选入选,-,v1
2026-04-15,600396,华电辽能,11,不推送,22.0,42,-4.6,-9.44,-3.73,121.12,121.12,-8.2,11.06,-3.78,16.41,29.57,-3.73,11.06,40.37,人气Top20；放量仍可控；站上20日线且不过热；连续上榜确认,收盘承接偏弱；上影线偏长,v1
2026-04-10,603986,兆易创新,42,不推送,52.0,45,-1.54,-1.11,1.79,121.07,121.07,3.08,8.72,4.69,10.43,12.02,8.23,11.25,22.7,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温,-,v1
2026-05-06,601991,大唐发电,11,不推送,12.0,31,10.1,10.1,10.1,119.47,119.47,33.17,61.06,20.96,46.29,101.44,33.17,61.06,107.69,人气Top20；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱；近5日趋势未确认,v1
2026-04-21,600396,华电辽能,15,观察池,84.0,38,0.0,9.96,9.96,118.94,118.94,13.16,32.84,13.16,32.84,53.01,32.84,36.9,62.36,人气Top20；当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升,热度可能进入后段；v1每日精选未入前5,v1
