strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v1,2026-07-25T04:22:17,推送层级,普通观察,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,13,13,13,-2.29,30.77,0.0
v1,2026-07-25T04:22:17,推送层级,普通观察,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,13,13,12,-7.69,8.33,0.0
v1,2026-07-25T04:22:17,推送层级,普通观察,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,13,13,11,-7.66,36.36,0.0
v1,2026-07-25T04:22:17,推送层级,普通观察,10d,10日收益,return_10d_pct,settled_10d,13,13,9,-11.7,22.22,22.22
v1,2026-07-25T04:22:17,推送层级,观察池,latest,至今收益,latest_return_pct,,1229,0,1195,-21.63,14.14,7.87
v1,2026-07-25T04:22:17,推送层级,观察池,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,1229,0,1195,0.24,49.54,2.01
v1,2026-07-25T04:22:17,推送层级,观察池,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,1229,0,1195,0.4,52.55,8.7
v1,2026-07-25T04:22:17,推送层级,观察池,1d,1日收益,return_1d_pct,settled_1d,1229,0,1195,0.4,52.55,8.7
v1,2026-07-25T04:22:17,推送层级,观察池,3d,3日收益,return_3d_pct,settled_3d,1229,0,1171,0.16,46.88,17.68
v1,2026-07-25T04:22:17,推送层级,观察池,5d,5日收益,return_5d_pct,settled_5d,1229,0,1160,-0.39,43.71,20.95
v1,2026-07-25T04:22:17,推送层级,观察池,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,1229,0,1195,0.19,49.37,3.93
v1,2026-07-25T04:22:17,推送层级,观察池,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,1229,0,1171,-0.14,45.94,15.54
v1,2026-07-25T04:22:17,推送层级,观察池,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,1229,0,1160,-0.66,43.02,19.22
v1,2026-07-25T04:22:17,推送层级,观察池,10d,10日收益,return_10d_pct,settled_10d,1229,0,1099,0.12,47.41,27.66
v1,2026-07-25T04:22:17,推送层级,重点观察,latest,至今收益,latest_return_pct,,55,55,55,-22.81,12.73,5.45
v1,2026-07-25T04:22:17,推送层级,重点观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,55,55,55,-0.33,45.45,3.64
v1,2026-07-25T04:22:17,推送层级,重点观察,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,55,55,55,0.77,52.73,14.55
v1,2026-07-25T04:22:17,推送层级,重点观察,1d,1日收益,return_1d_pct,settled_1d,55,55,55,0.77,52.73,14.55
v1,2026-07-25T04:22:17,推送层级,重点观察,3d,3日收益,return_3d_pct,settled_3d,55,55,54,0.51,46.3,18.52
v1,2026-07-25T04:22:17,推送层级,重点观察,5d,5日收益,return_5d_pct,settled_5d,55,55,52,-0.11,50.0,21.15
v1,2026-07-25T04:22:17,推送层级,重点观察,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,55,55,55,1.12,50.91,9.09
v1,2026-07-25T04:22:17,推送层级,重点观察,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,55,55,54,0.94,48.15,20.37
v1,2026-07-25T04:22:17,推送层级,重点观察,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,55,55,52,0.24,51.92,17.31
v1,2026-07-25T04:22:17,推送层级,重点观察,10d,10日收益,return_10d_pct,settled_10d,55,55,48,1.88,50.0,31.25
v1,2026-07-25T04:22:17,人气排名段,Top10,latest,至今收益,latest_return_pct,,504,92,484,-20.89,17.15,7.85
v1,2026-07-25T04:22:17,人气排名段,Top10,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,504,92,484,0.4,40.5,4.34
v1,2026-07-25T04:22:17,人气排名段,Top10,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,504,92,484,0.86,51.24,10.54
v1,2026-07-25T04:22:17,人气排名段,Top10,1d,1日收益,return_1d_pct,settled_1d,504,92,484,0.86,51.24,10.54
v1,2026-07-25T04:22:17,人气排名段,Top10,3d,3日收益,return_3d_pct,settled_3d,504,92,471,-0.09,44.59,19.53
v1,2026-07-25T04:22:17,人气排名段,Top10,5d,5日收益,return_5d_pct,settled_5d,504,92,455,-0.5,46.37,24.18
v1,2026-07-25T04:22:17,人气排名段,Top10,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,504,92,484,0.5,51.24,4.96
v1,2026-07-25T04:22:17,人气排名段,Top10,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,504,92,471,-0.38,45.44,16.99
v1,2026-07-25T04:22:17,人气排名段,Top10,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,504,92,455,-0.82,45.93,22.2
v1,2026-07-25T04:22:17,人气排名段,Top10,10d,10日收益,return_10d_pct,settled_10d,504,92,421,-1.33,44.89,28.27
v1,2026-07-25T04:22:17,人气排名段,Top100,latest,至今收益,latest_return_pct,,3614,24,3467,-18.35,17.1,7.76
v1,2026-07-25T04:22:17,人气排名段,Top100,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,3614,24,3467,-0.33,38.91,2.31
v1,2026-07-25T04:22:17,人气排名段,Top100,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,3614,24,3467,-0.15,46.21,6.95
v1,2026-07-25T04:22:17,人气排名段,Top100,1d,1日收益,return_1d_pct,settled_1d,3614,24,3467,-0.15,46.21,6.95
v1,2026-07-25T04:22:17,人气排名段,Top100,3d,3日收益,return_3d_pct,settled_3d,3614,24,3346,-0.87,41.81,14.08
v1,2026-07-25T04:22:17,人气排名段,Top100,5d,5日收益,return_5d_pct,settled_5d,3614,24,3241,-1.3,41.62,17.28
v1,2026-07-25T04:22:17,人气排名段,Top100,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,3614,24,3467,0.2,49.35,3.35
