group_name,group_value,sample_count,pushed_count,valid_latest,avg_latest,win_rate_latest,strong_rate_latest,valid_tail_next_open,avg_tail_next_open,win_rate_tail_next_open,strong_rate_tail_next_open,valid_tail_next_close,avg_tail_next_close,win_rate_tail_next_close,strong_rate_tail_next_close,valid_1d,avg_1d,win_rate_1d,strong_rate_1d,valid_3d,avg_3d,win_rate_3d,strong_rate_3d,valid_5d,avg_5d,win_rate_5d,strong_rate_5d,valid_open_buy_1d,avg_open_buy_1d,win_rate_open_buy_1d,strong_rate_open_buy_1d,valid_open_buy_3d,avg_open_buy_3d,win_rate_open_buy_3d,strong_rate_open_buy_3d,valid_open_buy_5d,avg_open_buy_5d,win_rate_open_buy_5d,strong_rate_open_buy_5d,valid_10d,avg_10d,win_rate_10d,strong_rate_10d,strategy_version
推送层级,不推送,4472,0,4235,-18.78,16.91,5.53,4235,-0.05,35.14,3.61,4235,0.02,43.47,7.96,4235,0.02,43.47,7.96,4056,-1.39,37.08,14.84,3874,-2.33,36.27,16.83,4235,0.09,47.23,4.18,4056,-1.39,39.0,12.43,3874,-2.35,37.33,15.23,3448,-3.7,35.18,21.32,v4
推送层级,强推观察,11,11,11,-13.85,18.18,9.09,11,-0.7,27.27,0.0,11,-1.56,27.27,0.0,11,-1.56,27.27,0.0,9,-6.7,11.11,0.0,8,-6.69,12.5,0.0,11,-0.85,45.45,0.0,9,-5.68,11.11,11.11,8,-5.89,12.5,0.0,8,-6.04,12.5,12.5,v4
推送层级,普通观察,154,154,154,-16.8,22.08,9.74,154,-0.59,38.31,0.65,154,-0.0,44.16,9.09,154,-0.0,44.16,9.09,148,-0.82,39.19,16.22,147,-1.23,40.82,19.05,154,0.59,51.95,6.49,148,-0.26,43.24,16.89,147,-0.7,44.22,19.05,136,-1.8,44.12,24.26,v4
推送层级,观察池,1002,0,948,-22.22,11.18,5.8,948,1.1,56.33,4.43,948,0.86,53.59,11.71,948,0.86,53.59,11.71,912,-0.09,47.81,18.53,886,-1.7,41.42,22.69,948,-0.19,47.05,3.59,912,-1.34,42.54,14.8,886,-2.99,38.15,19.07,814,-2.94,39.93,24.32,v4
推送层级,重点观察,58,58,58,-20.29,12.07,6.9,58,-0.24,41.38,0.0,58,-0.65,48.28,1.72,58,-0.65,48.28,1.72,58,-2.22,36.21,13.79,57,-1.32,45.61,14.04,58,-0.4,51.72,1.72,58,-1.98,39.66,12.07,57,-1.09,43.86,17.54,51,-0.57,41.18,21.57,v4
人气排名段,Top10,399,50,379,-20.41,17.41,6.33,379,0.88,38.79,6.07,379,1.19,50.4,10.82,379,1.19,50.4,10.82,366,-0.4,43.17,19.67,350,-1.19,43.71,24.57,379,0.34,51.19,5.01,366,-1.15,43.44,17.21,350,-1.97,42.57,22.0,316,-3.72,39.87,27.53,v4
人气排名段,Top100,2847,36,2700,-18.77,16.67,5.96,2700,-0.16,38.15,3.04,2700,-0.24,44.41,7.37,2700,-0.24,44.41,7.37,2579,-1.51,37.65,13.88,2474,-2.44,36.7,15.84,2700,-0.05,46.15,3.44,2579,-1.46,38.62,11.67,2474,-2.41,37.47,14.96,2217,-3.63,34.46,20.75,v4
人气排名段,Top20,570,48,540,-21.25,15.56,5.93,540,0.4,43.33,4.07,540,0.64,45.19,10.19,540,0.64,45.19,10.19,519,-0.93,40.66,17.53,500,-2.72,37.0,19.0,540,0.25,48.89,6.48,519,-1.53,39.88,14.45,500,-3.33,35.4,16.0,451,-3.64,38.36,22.62,v4
人气排名段,Top3,171,12,162,-18.47,14.81,4.32,162,0.27,37.65,5.56,162,0.58,45.68,11.11,162,0.58,45.68,11.11,156,-1.68,38.46,18.59,151,-3.47,31.13,21.19,162,0.34,50.0,5.56,156,-1.85,36.54,14.74,151,-3.75,29.8,17.88,135,-4.46,37.78,22.22,v4
人气排名段,Top50,1710,77,1625,-19.46,14.83,5.23,1625,0.36,39.14,3.69,1625,0.39,45.54,9.23,1625,0.39,45.54,9.23,1563,-0.79,39.67,16.19,1497,-1.66,37.81,18.97,1625,0.04,47.75,4.06,1563,-1.16,40.88,13.44,1497,-2.08,38.54,16.23,1338,-3.0,37.82,22.35,v4
上榜阶段,连续4天及以上,2563,125,2433,-19.24,15.66,4.89,2433,0.18,39.17,3.16,2433,0.19,45.38,8.01,2433,0.19,45.38,8.01,2328,-1.24,39.35,15.89,2232,-2.02,39.61,18.5,2433,0.02,47.68,4.15,2328,-1.38,39.95,13.45,2232,-2.17,39.52,16.8,1979,-3.38,37.85,22.59,v4
上榜阶段,连续第2天,764,34,725,-20.18,14.62,6.76,725,-0.56,32.55,2.21,725,-0.54,42.9,7.86,725,-0.54,42.9,7.86,698,-1.65,38.4,14.61,669,-2.98,34.98,17.19,725,0.04,46.9,4.14,698,-1.19,40.83,13.9,669,-2.56,37.22,16.74,608,-4.42,34.05,19.9,v4
上榜阶段,连续第3天,478,15,467,-21.03,14.78,5.78,467,-0.46,38.33,2.36,467,-0.08,46.04,7.92,467,-0.08,46.04,7.92,449,-1.75,36.3,15.37,429,-3.24,34.03,17.72,467,0.41,51.39,4.28,449,-1.41,38.31,12.25,429,-3.01,33.33,14.69,384,-4.16,37.24,21.61,v4
上榜阶段,首次上榜,1892,49,1781,-18.66,17.35,6.4,1781,0.52,41.55,5.17,1781,0.47,45.93,9.77,1781,0.47,45.93,9.77,1708,-0.7,39.4,15.34,1642,-1.79,36.24,17.36,1781,-0.01,46.1,3.99,1708,-1.41,39.29,12.12,1642,-2.52,36.6,15.04,1486,-3.03,35.06,22.01,v4
