signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-04-14,002297,博云新材,34,普通观察,72.0,25,10.01,10.01,10.01,100.0,100.0,33.11,42.89,69.9,33.11,57.34,69.9,人气Top50；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升,一字或近似一字，参与点差,v2
2026-04-16,600396,华电辽能,20,不推送,12.0,23,0.0,-2.06,5.62,99.73,99.73,11.52,34.84,36.08,11.52,34.84,55.01,人气Top20；温和放量；持续霸榜,当日转弱；收盘承接偏弱；热度可能进入后段,v2
2026-04-13,002980,华盛昌,85,不推送,39.0,26,2.21,10.0,10.0,99.59,99.59,13.99,33.77,38.74,24.34,36.44,44.43,当日涨停附近；收在日内高位；近5日强势延续；v2低分涨停修正,量能不足；短线涨幅偏高；偏离20日线较大,v2
2026-04-13,600396,华电辽能,5,强推观察,96.0,26,4.11,10.0,10.0,99.45,99.45,-0.14,1.23,38.63,18.63,18.63,47.95,人气Top10；当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；连续上榜确认；人气排名明显上升,-,v2
2026-04-22,688820,盛合晶微,70,不推送,50.0,19,-0.53,-6.74,7.89,97.84,97.84,6.42,-2.63,52.11,8.42,8.42,57.37,当日涨停附近；收在日内高位；站上20日线且不过热；连续上榜确认,人气排名明显回落,v2
2026-04-20,600396,华电辽能,83,不推送,40.0,21,0.14,10.01,10.01,97.02,97.02,33.02,36.94,62.38,33.02,46.14,62.38,当日上涨；收盘承接较强；温和放量；持续霸榜；人气排名明显上升,热度可能进入后段,v2
2026-04-14,002281,光迅科技,84,不推送,30.0,25,0.18,-4.22,1.04,93.78,93.78,4.87,9.33,22.98,4.87,12.8,26.98,温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；v2热点回踩观察,当日转弱；收盘承接偏弱；人气排名明显回落,v2
2026-04-21,603629,利通电子,63,不推送,0.0,20,0.11,6.93,8.88,93.35,93.35,8.13,17.95,65.62,17.62,17.95,71.54,温和放量；近5日强势延续；持续霸榜,当日转弱；收盘承接偏弱；短线涨幅偏高；偏离20日线较大；热度可能进入后段,v2
2026-04-10,603459,红板科技,25,不推送,52.0,27,-1.72,14.05,27.03,91.74,91.74,24.18,22.17,9.11,27.03,31.84,31.84,人气Top50；当日涨停附近；温和放量；站上20日线且不过热,-,v2
2026-04-27,002081,金螳螂,30,不推送,24.0,16,0.9,9.93,9.93,34.09,90.97,33.18,61.17,79.01,33.18,61.17,90.97,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜,当日转弱；收盘承接偏弱；热度可能进入后段,v2
2026-04-13,002281,光迅科技,17,重点观察,77.0,26,-0.2,-2.05,0.55,89.81,89.81,-6.61,5.56,18.28,0.55,10.49,24.38,人气Top20；当日上涨；收盘承接较强；温和放量；近5日强势延续；站上20日线且不过热；连续上榜确认；v2连榜升温修正,短线涨幅偏高,v2
2026-04-17,603629,利通电子,10,普通观察,60.0,22,2.43,1.75,4.3,85.56,85.56,2.62,3.77,50.65,4.5,12.88,50.65,人气Top10；当日涨停附近；收在日内高位；温和放量；持续霸榜,短线涨幅过热；远离20日线过多；热度可能进入后段,v2
2026-04-10,603773,沃格光电,37,重点观察,75.0,27,-2.97,1.99,5.24,85.44,85.44,14.79,22.62,35.14,14.79,22.62,52.99,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热；v2强势延续修正；v2低分涨停修正,短线涨幅偏高,v2
2026-04-17,002281,光迅科技,12,强推观察,102.0,22,4.43,2.76,7.56,84.77,84.77,6.11,10.16,29.09,7.56,16.13,35.5,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升；v2强势延续修正,-,v2
2026-04-10,300857,协创数据,77,不推送,0.0,27,4.09,-0.12,5.63,83.15,83.15,34.84,52.25,77.89,38.68,54.71,81.05,放量仍可控,当日转弱；收盘承接偏弱；近5日趋势未确认；仍在20日线下方,v2
