strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v2,2026-07-02T03:57:13,推送层级,观察池,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,387,0,377,0.86,54.38,4.24
v2,2026-07-02T03:57:13,推送层级,观察池,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,387,0,358,1.53,54.47,20.67
v2,2026-07-02T03:57:13,推送层级,观察池,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,387,0,332,0.47,46.39,22.89
v2,2026-07-02T03:57:13,推送层级,观察池,10d,10日收益,return_10d_pct,settled_10d,387,0,274,-3.48,36.5,22.26
v2,2026-07-02T03:57:13,推送层级,重点观察,latest,至今收益,latest_return_pct,,129,129,129,10.47,44.96,42.64
v2,2026-07-02T03:57:13,推送层级,重点观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,129,129,129,0.13,52.71,1.55
v2,2026-07-02T03:57:13,推送层级,重点观察,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,129,129,129,0.98,58.91,7.75
v2,2026-07-02T03:57:13,推送层级,重点观察,1d,1日收益,return_1d_pct,settled_1d,129,129,129,0.98,58.91,7.75
v2,2026-07-02T03:57:13,推送层级,重点观察,3d,3日收益,return_3d_pct,settled_3d,129,129,129,1.59,55.04,18.6
v2,2026-07-02T03:57:13,推送层级,重点观察,5d,5日收益,return_5d_pct,settled_5d,129,129,127,2.19,50.39,22.83
v2,2026-07-02T03:57:13,推送层级,重点观察,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,129,129,129,0.89,50.39,3.1
v2,2026-07-02T03:57:13,推送层级,重点观察,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,129,129,129,1.51,55.04,20.16
v2,2026-07-02T03:57:13,推送层级,重点观察,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,129,129,127,2.09,49.61,20.47
v2,2026-07-02T03:57:13,推送层级,重点观察,10d,10日收益,return_10d_pct,settled_10d,129,129,124,2.78,52.42,30.65
v2,2026-07-02T03:57:13,人气排名段,Top10,latest,至今收益,latest_return_pct,,385,95,378,1.74,46.56,31.75
v2,2026-07-02T03:57:13,人气排名段,Top10,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,385,95,378,-1.32,43.65,5.56
v2,2026-07-02T03:57:13,人气排名段,Top10,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,385,95,378,-0.37,50.79,11.64
v2,2026-07-02T03:57:13,人气排名段,Top10,1d,1日收益,return_1d_pct,settled_1d,385,95,378,-0.37,50.79,11.64
v2,2026-07-02T03:57:13,人气排名段,Top10,3d,3日收益,return_3d_pct,settled_3d,385,95,364,-0.57,45.6,20.05
v2,2026-07-02T03:57:13,人气排名段,Top10,5d,5日收益,return_5d_pct,settled_5d,385,95,349,-0.38,47.28,24.36
v2,2026-07-02T03:57:13,人气排名段,Top10,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,385,95,378,0.97,52.65,4.76
v2,2026-07-02T03:57:13,人气排名段,Top10,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,385,95,364,1.02,48.08,17.86
v2,2026-07-02T03:57:13,人气排名段,Top10,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,385,95,349,1.47,51.29,24.07
v2,2026-07-02T03:57:13,人气排名段,Top10,10d,10日收益,return_10d_pct,settled_10d,385,95,314,0.95,47.45,27.39
v2,2026-07-02T03:57:13,人气排名段,Top100,latest,至今收益,latest_return_pct,,2767,126,2716,2.0,40.72,26.03
v2,2026-07-02T03:57:13,人气排名段,Top100,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,2767,126,2716,-1.53,41.9,4.38
v2,2026-07-02T03:57:13,人气排名段,Top100,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,2767,126,2716,-0.96,47.94,8.32
v2,2026-07-02T03:57:13,人气排名段,Top100,1d,1日收益,return_1d_pct,settled_1d,2767,126,2716,-0.96,47.94,8.32
v2,2026-07-02T03:57:13,人气排名段,Top100,3d,3日收益,return_3d_pct,settled_3d,2767,126,2615,-0.76,46.65,15.07
v2,2026-07-02T03:57:13,人气排名段,Top100,5d,5日收益,return_5d_pct,settled_5d,2767,126,2515,-0.57,46.12,18.97
v2,2026-07-02T03:57:13,人气排名段,Top100,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,2767,126,2716,0.62,53.35,3.42
v2,2026-07-02T03:57:13,人气排名段,Top100,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,2767,126,2615,0.95,50.25,14.53
v2,2026-07-02T03:57:13,人气排名段,Top100,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,2767,126,2515,1.29,50.1,19.64
v2,2026-07-02T03:57:13,人气排名段,Top100,10d,10日收益,return_10d_pct,settled_10d,2767,126,2264,-0.09,43.55,23.5
v2,2026-07-02T03:57:13,人气排名段,Top20,latest,至今收益,latest_return_pct,,550,119,540,2.02,43.89,29.07
v2,2026-07-02T03:57:13,人气排名段,Top20,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,550,119,540,-0.75,40.0,6.11
v2,2026-07-02T03:57:13,人气排名段,Top20,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,550,119,540,0.21,52.41,13.15
v2,2026-07-02T03:57:13,人气排名段,Top20,1d,1日收益,return_1d_pct,settled_1d,550,119,540,0.21,52.41,13.15
v2,2026-07-02T03:57:13,人气排名段,Top20,3d,3日收益,return_3d_pct,settled_3d,550,119,520,0.25,48.08,20.58
v2,2026-07-02T03:57:13,人气排名段,Top20,5d,5日收益,return_5d_pct,settled_5d,550,119,500,0.97,48.6,25.0
v2,2026-07-02T03:57:13,人气排名段,Top20,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,550,119,540,1.01,54.26,5.19
v2,2026-07-02T03:57:13,人气排名段,Top20,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,550,119,520,1.22,52.88,19.23
v2,2026-07-02T03:57:13,人气排名段,Top20,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,550,119,500,2.02,52.8,26.8
v2,2026-07-02T03:57:13,人气排名段,Top20,10d,10日收益,return_10d_pct,settled_10d,550,119,450,1.44,48.89,27.78
v2,2026-07-02T03:57:13,人气排名段,Top3,latest,至今收益,latest_return_pct,,165,41,160,5.53,53.12,36.25
v2,2026-07-02T03:57:13,人气排名段,Top3,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,165,41,160,-0.43,48.12,5.62
v2,2026-07-02T03:57:13,人气排名段,Top3,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,165,41,160,0.67,55.0,15.62
v2,2026-07-02T03:57:13,人气排名段,Top3,1d,1日收益,return_1d_pct,settled_1d,165,41,160,0.67,55.0,15.62
v2,2026-07-02T03:57:13,人气排名段,Top3,3d,3日收益,return_3d_pct,settled_3d,165,41,154,1.46,55.19,29.22
v2,2026-07-02T03:57:13,人气排名段,Top3,5d,5日收益,return_5d_pct,settled_5d,165,41,148,1.35,49.32,26.35
v2,2026-07-02T03:57:13,人气排名段,Top3,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,165,41,160,1.16,55.62,4.38
v2,2026-07-02T03:57:13,人气排名段,Top3,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,165,41,154,1.98,52.6,24.03
v2,2026-07-02T03:57:13,人气排名段,Top3,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,165,41,148,2.2,53.38,28.38
v2,2026-07-02T03:57:13,人气排名段,Top3,10d,10日收益,return_10d_pct,settled_10d,165,41,134,3.13,54.48,35.07
