strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v4,2026-08-08T05:39:38,推送层级,不推送,latest,至今收益,latest_return_pct,,5210,0,4387,-18.26,17.39,6.09
v4,2026-08-08T05:39:38,推送层级,不推送,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,5210,0,4387,-0.07,35.19,3.94
v4,2026-08-08T05:39:38,推送层级,不推送,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,5210,0,4387,0.02,43.47,8.3
v4,2026-08-08T05:39:38,推送层级,不推送,1d,1日收益,return_1d_pct,settled_1d,5210,0,4387,0.02,43.47,8.3
v4,2026-08-08T05:39:38,推送层级,不推送,3d,3日收益,return_3d_pct,settled_3d,5210,0,4207,-1.36,37.32,14.74
v4,2026-08-08T05:39:38,推送层级,不推送,5d,5日收益,return_5d_pct,settled_5d,5210,0,4025,-2.34,36.3,16.47
v4,2026-08-08T05:39:38,推送层级,不推送,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,5210,0,4387,0.11,47.53,4.22
v4,2026-08-08T05:39:38,推送层级,不推送,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,5210,0,4207,-1.34,39.2,12.43
v4,2026-08-08T05:39:38,推送层级,不推送,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,5210,0,4025,-2.36,37.54,15.13
v4,2026-08-08T05:39:38,推送层级,不推送,10d,10日收益,return_10d_pct,settled_10d,5210,0,3593,-3.93,34.82,20.82
v4,2026-08-08T05:39:38,推送层级,强推观察,latest,至今收益,latest_return_pct,,11,11,11,-17.22,9.09,0.0
v4,2026-08-08T05:39:38,推送层级,强推观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,11,11,11,-0.7,27.27,0.0
v4,2026-08-08T05:39:38,推送层级,强推观察,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,11,11,11,-1.56,27.27,0.0
v4,2026-08-08T05:39:38,推送层级,强推观察,1d,1日收益,return_1d_pct,settled_1d,11,11,11,-1.56,27.27,0.0
v4,2026-08-08T05:39:38,推送层级,强推观察,3d,3日收益,return_3d_pct,settled_3d,11,11,9,-6.7,11.11,0.0
v4,2026-08-08T05:39:38,推送层级,强推观察,5d,5日收益,return_5d_pct,settled_5d,11,11,9,-4.84,22.22,11.11
v4,2026-08-08T05:39:38,推送层级,强推观察,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,11,11,11,-0.85,45.45,0.0
v4,2026-08-08T05:39:38,推送层级,强推观察,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,11,11,9,-5.68,11.11,11.11
v4,2026-08-08T05:39:38,推送层级,强推观察,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,11,11,9,-3.77,22.22,11.11
v4,2026-08-08T05:39:38,推送层级,强推观察,10d,10日收益,return_10d_pct,settled_10d,11,11,9,-6.92,11.11,11.11
v4,2026-08-08T05:39:38,推送层级,普通观察,latest,至今收益,latest_return_pct,,158,158,154,-18.12,19.48,7.14
