signal_date,code,profit_ratio,concentration_90
2025-12-31,000620,0.03320902732507878,0.13599568267674042
2026-01-05,000620,0.2018715984788879,0.13363925626095807
2026-01-06,000620,0.7214978906153615,0.13126994118030078
2026-01-07,000620,0.9069983487907757,0.13126994118030078
2026-01-08,000620,0.8840896314491825,0.13363925626095807
2026-01-09,000620,0.6088819304111235,0.13055585536967082
2026-01-12,000620,0.5881026651917185,0.12818459274010255
2026-01-13,000620,0.41723079583822875,0.12818459274010255
2026-01-14,000620,0.42583675440640195,0.12818459274010255
2026-01-15,000620,0.351829278828447,0.1258003602977883
2026-01-16,000620,0.8474079018029455,0.12272992921924722
2026-01-19,000620,0.9208683884705555,0.13916441876765584
2026-01-20,000620,0.8650074512579912,0.14750088843363923
2026-01-21,000620,0.6824005445414477,0.14895779321787822
2026-01-22,000620,0.70200856338123,0.14596305413624042
2026-01-23,000620,0.7490344515175363,0.14075008791708898
2026-01-26,000620,0.39398952332080045,0.14075008791708898
2026-01-27,000620,0.42805494387641535,0.13778447190872142
2026-01-28,000620,0.9744290281136808,0.14002016751383944
2026-01-29,000620,0.8115864806344923,0.15802990185343715
2026-01-30,000620,0.27868143341353074,0.15224927203216926
2026-02-02,000620,0.20206008679266385,0.14725749262127844
2026-02-03,000620,0.2864282939109258,0.14725749262127844
2026-02-04,000620,0.32624437344391777,0.1415590815019217
2026-02-05,000620,0.15662249062563394,0.13942184196486793
2026-02-06,000620,0.16680371583278042,0.13659209618606485
2026-02-09,000620,0.4565207265915982,0.13097456214329145
2026-02-10,000620,0.2637169371567637,0.13097456214329145
2026-02-11,000620,0.14663451574477146,0.12603212583599738
2026-02-12,000620,0.11459124184156648,0.12603212583599738
2026-02-13,000620,0.07252258167876645,0.12325631444055321
2026-02-24,000620,0.10721698132258606,0.12049415484299068
2026-02-25,000620,0.1280503370592721,0.11774554657840933
2026-02-26,000620,0.06647063494823198,0.11283948213764236
2026-02-27,000620,0.0884963628350255,0.11011633100930258
2026-03-02,000620,0.03974751072931324,0.12665812555435105
2026-03-03,000620,0.02438425904222384,0.13579483085520413
2026-03-04,000620,0.062353200445183006,0.14153611618157383
2026-03-05,000620,0.09349194755655271,0.13865823645931297
2026-03-06,000620,0.13141907607072367,0.13865823645931297
2026-03-09,000620,0.18579927971732993,0.13648125488937474
2026-03-10,000620,0.11431187932581235,0.13648125488937474
2026-03-11,000620,0.20608847558930887,0.13648125488937474
2026-03-12,000620,0.28881155266988,0.1342932410963863
2026-03-13,000620,0.2608038709427866,0.1314263935971757
2026-03-16,000620,0.674486981995907,0.129225571621051
2026-03-17,000620,0.7198627039299821,0.12193302554383986
2026-03-18,000620,0.5962239463576975,0.11969681657402724
2026-03-19,000620,0.22700008508353386,0.11969681657402724
2026-03-20,000620,0.05108269697696701,0.1174491884334029
2026-03-23,000620,0.022249830204997524,0.12030961136054284
2026-03-24,000620,0.309607223724391,0.11805201947165819
2026-03-25,000620,0.3440340122136878,0.11805201947165819
2026-03-26,000620,0.057671970352181835,0.11578281023462865
2026-03-27,000620,0.13450770142624513,0.11866107073395435
2026-03-30,000620,0.07773216507375648,0.11866107073395435
2026-03-31,000620,0.01034064363352455,0.11927643899327063
2026-04-01,000620,0.0204482241455145,0.11927643899327063
2026-04-02,000620,0.00261711192232516,0.12511118925963471
2026-04-03,000620,0.0026900507037523618,0.13169722181574925
2026-04-07,000620,0.05049626530885683,0.1468002626729086
2026-04-08,000620,0.13057568103101963,0.14374749117951535
2026-04-09,000620,0.06346615851754805,0.14374749117951535
2026-04-10,000620,0.14156807312701364,0.13842351002471842
2026-04-13,000620,0.17979384404056345,0.13842351002471842
2026-04-14,000620,0.6070606538495401,0.13842351002471842
2026-04-15,000620,0.2665213770058618,0.13309952886992166
2026-04-16,000620,0.2676432534913369,0.1307856885631368
2026-04-17,000620,0.18566939072511102,0.1307856885631368
2026-04-20,000620,0.17984366151286868,0.12544749719321288
2026-04-21,000620,0.09239391057663003,0.12544749719321288
2026-04-22,000620,0.10818042071712848,0.12544749719321288
2026-04-23,000620,0.03947365049629379,0.12612075391332128
2026-04-24,000620,0.03550249370337811,0.12915073992611412
2026-04-27,000620,0.05917977390207193,0.13219707513435972
2026-04-28,000620,0.04463259253346367,0.13219707513435972
2026-04-29,000620,0.24132134234486832,0.12984949653262343
2026-04-30,000620,0.1991667576436816,0.12984949653262343
2026-05-06,000620,0.709507446385174,0.1274891821489312
2026-05-07,000620,0.7259940633328458,0.12272992921924722
2026-05-08,000620,0.5203800960755434,0.12033077941527578
2026-05-11,000620,0.7318043108587484,0.11486119853276315
2026-05-12,000620,0.6187395195292638,0.11243389122249546
2026-05-13,000620,0.8533296439874443,0.10999323454311333
2026-05-14,000620,0.5614577279876393,0.10753911806543381
2026-05-15,000620,0.8863851794340568,0.10202429149797572
2026-05-18,000620,0.8846335975365409,0.11423637344846196
2026-05-19,000620,0.8301769903490779,0.11121396740651437
2026-05-20,000620,0.7077480050833784,0.11121396740651437
2026-05-21,000620,0.6535373649648316,0.10879654614139232
